Date, Open, High, Low, Close
9/29/20,194.71,195.26,195.26,195.26
9/28/20,192.42,194.71,194.71,194.71
9/25/20,190,192.42,192.42,192.42
9/24/20,189.25,190,190,190
9/23/20,194.47,189.25,189.25,189.25
9/22/20,190.89,194.47,194.47,194.47
9/21/20,193.19,190.89,190.89,190.89
9/18/20,195.34,193.19,193.19,193.19
9/17/20,198.99,195.34,195.34,195.34
9/16/20,201.42,198.99,198.99,198.99
9/15/20,198.02,201.42,201.42,201.42
9/14/20,197.76,198.02,198.02,198.02
9/11/20,198.34,197.76,197.76,197.76
9/10/20,201.51,198.34,198.34,198.34
9/9/20,199.68,201.51,201.51,201.51
9/8/20,204.6,199.68,199.68,199.68
9/4/20,208.61,204.6,204.6,204.6
9/3/20,215.83,208.61,208.61,208.61
9/2/20,211.21,215.83,215.83,215.83
9/1/20,209.04,211.21,211.21,211.21
8/31/20,209.9,209.04,209.04,209.04
8/28/20,209.23,209.9,209.9,209.9
8/27/20,211.97,209.23,209.23,209.23
8/26/20,204.38,211.97,211.97,211.97
8/25/20,202.42,204.38,204.38,204.38
8/24/20,200.62,202.42,202.42,202.42
8/21/20,201.06,200.3,200.3,200.3
8/20/20,198.32,201.06,201.06,201.06
8/19/20,199.24,198.34,198.34,198.34
8/18/20,197.08,199.24,199.24,199.23
8/17/20,197.09,197.08,197.08,197.08
8/14/20,197.13,196.89,196.89,196.89
8/13/20,196.38,197.09,197.09,197.09
8/12/20,194.06,196.35,196.35,196.35
8/11/20,196.43,193.93,193.93,193.93
8/10/20,197.39,196.49,196.49,196.49
8/7/20,197.47,197.39,197.39,197.39
8/6/20,192.79,197.49,197.49,197.49
8/5/20,192.2,192.76,192.76,192.76
8/4/20,191.74,192.29,192.29,192.29
8/3/20,191.69,191.64,191.64,191.64
7/31/20,190.29,191.69,191.69,191.69
7/30/20,189.82,190.22,190.22,190.22
7/29/20,188.26,189.62,189.62,189.62
7/28/20,189.88,188.15,188.15,188.15
7/27/20,188.55,189.9,189.9,189.9
7/24/20,188.54,188.43,188.43,188.43
7/23/20,192.3,188.54,188.54,188.54
7/22/20,192.21,192.28,192.28,192.28
7/21/20,193.03,192.2,192.2,192.2
7/20/20,190.61,192.99,192.99,192.99
7/17/20,191.42,190.61,190.61,190.61
7/16/20,190.85,191.43,191.43,191.43
7/15/20,190.3,190.86,190.86,190.86
7/14/20,188.61,190.31,190.31,190.31
7/13/20,192.39,188.61,188.61,188.61
7/10/20,188.7,192.39,192.39,192.39
7/9/20,188.77,188.7,188.7,188.7
7/8/20,187.03,188.77,188.77,188.77
7/7/20,187.73,187.03,187.03,187.03
7/6/20,183.78,187.73,187.73,187.73
7/2/20,183.9,183.78,183.78,183.78
7/1/20,179.88,183.9,183.9,183.9
6/30/20,177.53,179.88,179.88,179.88
6/29/20,173.95,177.53,177.53,177.53
6/26/20,182.13,173.97,173.97,173.97
6/25/20,181.09,182.14,182.14,182.14
6/24/20,185.64,181.1,181.1,181.1
6/23/20,184.6,185.65,185.65,185.65
6/22/20,183.55,184.51,184.51,184.51
6/19/20,184.27,183.56,183.56,183.56
6/18/20,184.17,184.15,184.15,184.15
6/17/20,184.03,184.17,184.17,184.17
6/16/20,181.82,184.03,184.03,184.03
6/15/20,180.02,181.82,181.82,181.82
6/12/20,178.44,180.02,180.02,180.02
6/11/20,187.13,178.44,178.44,178.44
6/10/20,187.61,187.13,187.13,187.13
6/9/20,187.28,187.61,187.61,187.61
6/8/20,185.2,187.28,187.28,187.28
6/5/20,182.14,185.2,185.2,185.2
6/4/20,183.62,182.14,182.14,182.14
6/3/20,183.23,183.62,183.62,183.62
6/2/20,182.34,183.23,183.23,183.23
6/1/20,180.89,182.34,182.34,182.34
5/29/20,179.62,180.89,180.89,180.89
5/28/20,181.35,179.62,179.62,179.62
5/27/20,180.36,181.35,181.35,181.35
5/26/20,179.85,180.36,180.36,180.36
5/22/20,179.04,179.85,179.85,179.85
5/21/20,179.85,179.04,179.04,179.04
5/20/20,175.13,179.85,179.85,179.85
5/19/20,175.85,175.13,175.13,175.13
5/18/20,172.15,175.85,175.85,175.85
5/15/20,170.01,172.15,172.15,172.15
5/14/20,168.32,170.01,170.01,170.01
5/13/20,171.09,168.32,168.32,168.32
5/12/20,174.47,171.09,171.09,171.09
5/11/20,174.23,174.47,174.47,174.47
5/8/20,171.53,174.23,174.23,174.23
5/7/20,168.89,171.53,171.53,171.53
