Date, Open, High, Low, Close
09/29/20, 1209.63, 1199.70, 1199.70, 1199.70
09/28/20, 1200.21, 1209.21, 1209.21, 1209.21
09/25/20, 1168.07, 1183.40, 1183.40, 1183.40
09/24/20, 1157.37, 1165.13, 1165.13, 1165.13
09/23/20, 1199.07, 1163.66, 1163.66, 1163.66
09/22/20, 1170.09, 1190.32, 1190.32, 1190.32
09/21/20, 1150.41, 1156.13, 1156.13, 1156.13
09/18/20, 1188.85, 1169.00, 1169.00, 1169.00
09/17/20, 1183.80, 1186.13, 1186.13, 1186.13
09/16/20, 1223.90, 1205.26, 1205.26, 1205.26
09/15/20, 1215.10, 1217.64, 1217.64, 1217.64
09/14/20, 1211.75, 1205.24, 1205.24, 1205.24
09/11/20, 1209.87, 1196.89, 1196.89, 1196.89
09/10/20, 1231.21, 1200.68, 1200.68, 1200.68
09/09/20, 1205.68, 1222.32, 1222.32, 1222.32
09/08/20, 1190.65, 1194.69, 1194.69, 1194.69
09/04/20, 1233.48, 1220.14, 1220.14, 1220.14
09/03/20, 1276.25, 1237.57, 1237.57, 1237.57
09/02/20, 1277.17, 1283.28, 1283.28, 1283.28
09/01/20, 1257.74, 1267.62, 1267.62, 1267.62
08/31/20, 1250.36, 1253.91, 1253.91, 1253.91
08/28/20, 1251.29, 1251.82, 1251.82, 1251.82
08/27/20, 1258.33, 1245.67, 1245.67, 1245.67
08/26/20, 1238.18, 1254.67, 1254.67, 1254.67
08/25/20, 1230.12, 1236.56, 1236.56, 1236.56
08/24/20, 1214.30, 1230.04, 1230.04, 1230.04
08/21/20, 1210.40, 1214.27, 1214.27, 1214.27
08/20/20, 1208.46, 1210.44, 1210.44, 1210.45
08/19/20, 1217.51, 1208.71, 1208.71, 1208.71
08/18/20, 1199.90, 1217.44, 1217.44, 1217.44
08/17/20, 1185.61, 1199.92, 1199.92, 1199.92
08/14/20, 1186.75, 1185.62, 1185.62, 1185.62
08/13/20, 1187.28, 1186.76, 1186.76, 1186.76
08/12/20, 1167.96, 1187.44, 1187.44, 1187.44
08/11/20, 1175.44, 1167.93, 1167.93, 1167.93
08/10/20, 1167.54, 1175.40, 1175.40, 1175.40
08/07/20, 1170.83, 1167.41, 1167.41, 1167.41
08/06/20, 1164.85, 1170.85, 1170.85, 1170.85
08/05/20, 1149.08, 1165.04, 1165.04, 1165.04
08/04/20, 1139.37, 1148.91, 1148.91, 1148.91
08/03/20, 1148.78, 1139.53, 1139.53, 1139.53
07/31/20, 1131.31, 1145.81, 1145.81, 1145.81
07/30/20, 1130.10, 1131.37, 1131.37, 1131.37
07/29/20, 1118.46, 1130.21, 1130.21, 1130.21
07/28/20, 1132.30, 1118.41, 1118.41, 1118.41
07/27/20, 1122.45, 1132.31, 1132.31, 1132.31
07/24/20, 1118.87, 1122.55, 1122.55, 1122.55
07/23/20, 1142.09, 1118.87, 1118.87, 1118.87
07/22/20, 1138.31, 1142.07, 1142.07, 1142.07
07/21/20, 1142.71, 1138.34, 1138.34, 1138.34
07/20/20, 1107.70, 1142.47, 1142.47, 1142.47
07/17/20, 1115.22, 1107.71, 1107.71, 1107.71
07/16/20, 1112.24, 1115.20, 1115.20, 1115.20
07/15/20, 1113.39, 1118.24, 1118.24, 1118.24
07/14/20, 1106.42, 1113.07, 1113.07, 1113.07
07/13/20, 1125.97, 1106.46, 1106.46, 1106.46
07/10/20, 1115.54, 1125.92, 1125.92, 1125.92
07/09/20, 1111.85, 1114.73, 1114.73, 1114.73
07/08/20, 1093.48, 1106.19, 1106.19, 1106.19
07/07/20, 1103.08, 1089.49, 1089.49, 1089.49
07/06/20, 1089.20, 1108.60, 1108.60, 1108.60
07/02/20, 1084.03, 1074.07, 1074.07, 1074.07
07/01/20, 1051.54, 1069.88, 1069.88, 1069.88
06/30/20, 1033.75, 1051.42, 1051.42, 1051.42
06/29/20, 1020.10, 1033.56, 1033.56, 1033.56
06/26/20, 1044.41, 1020.03, 1020.03, 1020.03
06/25/20, 1041.19, 1044.40, 1044.40, 1044.40
06/24/20, 1062.18, 1041.21, 1041.21, 1041.21
06/23/20, 1051.32, 1062.23, 1062.23, 1062.23
06/22/20, 1039.81, 1051.29, 1051.29, 1051.29
06/19/20, 1058.97, 1039.83, 1039.83, 1039.83
06/18/20, 1043.42, 1044.50, 1044.50, 1044.50
06/17/20, 1052.08, 1046.66, 1046.66, 1046.66
