Date, Open, High, Low, Close
09/29/20,655.88,651.25,651.25,651.25
09/28/20,653.51,655.3,655.3,655.3
09/25/20,641.2,647.9,647.9,647.9
09/24/20,640.57,645.24,645.24,645.24
09/23/20,652.32,640.35,640.35,640.35
09/22/20,646.75,650.53,650.53,650.53
09/21/20,647.72,646.37,646.37,646.37
09/18/20,656.89,650.71,650.71,650.71
09/17/20,656.43,656.76,656.76,656.76
09/16/20,666.22,661.08,661.08,661.08
09/15/20,667.25,664.47,664.47,664.47
09/14/20,663.15,665.15,665.15,665.15
09/11/20,659.68,662.06,662.06,662.06
09/10/20,666.48,658.03,658.03,658.03
09/09/20,660.22,666.37,666.37,666.37
09/08/20,668.73,656.61,656.61,656.61
09/04/20,674.21,670.48,670.48,670.48
09/03/20,685.62,672.07,672.07,672.07
09/02/20,675.17,684.99,684.99,684.99
09/01/20,671.07,672.24,672.24,672.24
08/31/20,671.14,671.53,671.53,671.53
08/28/20,669.86,673.67,673.67,673.67
08/27/20,664.65,667.47,667.47,667.47
08/26/20,660.44,663.41,663.41,663.41
08/25/20,664.78,662.73,662.73,662.73
08/24/20,658.01,663.58,663.58,663.58
08/21/20,656.24,658.05,658.05,658.05
08/20/20,657.91,656.31,656.31,656.31
08/19/20,662.84,657.98,657.98,657.98
08/18/20,660.46,662.85,662.85,662.85
08/17/20,656.75,660.5,660.5,660.5
08/14/20,656.8,656.81,656.81,656.81
08/13/20,657.85,656.96,656.96,656.96
08/12/20,649.64,658.21,658.21,658.21
08/11/20,654.2,649.53,649.53,649.53
08/10/20,650.91,654.13,654.13,654.13
08/07/20,647.73,651.18,651.18,651.18
08/06/20,647.62,647.75,647.75,647.75
08/05/20,649.59,647.64,647.64,647.64
08/04/20,640.13,649.09,649.09,649.09
08/03/20,642.02,640.4,640.4,640.4
07/31/20,642.66,642.01,642.01,642.01
07/30/20,642.73,642.89,642.89,642.89
07/29/20,641.8,642.86,642.86,642.86
07/28/20,639.93,641.87,641.87,641.87
07/27/20,636.52,639.98,639.98,639.98
07/24/20,637.4,636.52,636.52,636.52
07/23/20,635.66,637.44,637.44,637.44
07/22/20,631.43,636.28,636.28,636.28
07/21/20,625.34,631.43,631.43,631.43
07/20/20,631.42,625.3,625.3,625.3
07/17/20,628.94,631.38,631.38,631.38
07/16/20,627.35,628.77,628.77,628.77
07/15/20,627.36,627.39,627.39,627.39
07/14/20,617.82,627.32,627.32,627.32
07/13/20,620.41,617.88,617.88,617.88
07/10/20,608.78,619.33,619.33,619.33
07/09/20,611.95,607.85,607.85,607.85
07/08/20,614.81,612.46,612.46,612.46
07/07/20,604.42,613.74,613.74,613.74
07/06/20,608.17,607.63,607.63,607.63
07/02/20,606.99,604.43,604.43,604.43
07/01/20,601.36,601.63,601.63,601.63
06/30/20,597.08,601.33,601.33,601.33
06/29/20,586.14,596.52,596.52,596.52
06/26/20,598.01,585.69,585.69,585.69
06/25/20,593.45,598.04,598.04,598.04
06/24/20,603.21,593.62,593.62,593.62
06/23/20,604.65,603.54,603.54,603.54
06/22/20,605.98,604.38,604.38,604.38
