Date, Open, High, Low, Close
9/29/20,234.42,228.03,228.03,228.03
9/28/20,229.09,234.42,234.42,234.42
9/25/20,229.24,229.09,229.09,229.09
9/24/20,229.05,229.24,229.24,229.24
9/23/20,239.96,229.05,229.05,229.05
9/22/20,242.45,239.96,239.96,239.96
9/21/20,250.65,242.45,242.45,242.45
9/18/20,253.58,250.65,250.65,250.65
9/17/20,253.06,253.58,253.58,253.58
9/16/20,243.22,253.06,253.06,253.06
9/15/20,245.09,243.22,243.22,243.22
9/14/20,243.58,245.09,245.09,245.09
9/11/20,242.96,243.58,243.58,243.58
9/10/20,252.21,242.96,242.96,242.96
9/9/20,250.67,252.21,252.21,252.21
9/8/20,260.32,250.67,250.67,250.67
9/4/20,261.18,260.32,260.32,260.32
9/3/20,262.95,261.18,261.18,261.18
9/2/20,264.05,262.95,262.95,262.95
9/1/20,266.5,264.05,264.05,264.05
8/31/20,272.48,266.5,266.5,266.5
8/28/20,267.52,272.48,272.48,272.48
8/27/20,266.85,267.52,267.52,267.52
8/26/20,272.94,266.85,266.85,266.85
8/25/20,276.87,272.94,272.94,272.94
8/24/20,269.47,276.87,276.87,276.87
8/21/20,271.14,269.45,269.45,269.45
8/20/20,276.99,271.15,271.15,271.15
8/19/20,280.32,277.05,277.05,277.05
8/18/20,284.04,280.29,280.29,280.29
8/17/20,286.84,285.18,285.18,285.18
8/14/20,284.24,286.99,286.99,286.99
8/13/20,290.04,284.31,284.31,284.31
8/12/20,287.09,290.07,290.07,290.07
8/11/20,289.3,288.55,288.55,288.55
8/10/20,280.6,289.24,289.24,289.24
8/7/20,280.35,280.59,280.59,280.59
8/6/20,282.41,280.45,280.45,280.45
8/5/20,279.7,282.46,282.46,282.46
8/4/20,272.81,279.51,279.51,279.51
8/3/20,271.95,272.81,272.81,272.81
7/31/20,273.58,272.09,272.09,272.09
7/30/20,285.49,273.99,273.99,273.99
7/29/20,279.74,285.7,285.7,285.7
7/28/20,284.69,279.73,279.73,279.73
7/27/20,284.08,284.71,284.71,284.71
7/24/20,285.79,284.11,284.11,284.11
7/23/20,286.37,285.79,285.79,285.79
7/22/20,290.24,286.39,286.39,286.39
7/21/20,273.55,290.28,290.28,290.28
7/20/20,278.21,273.46,273.46,273.46
7/17/20,282.41,278.27,278.27,278.27
7/16/20,283.88,282.57,282.57,282.57
7/15/20,278.61,284.02,284.02,284.02
7/14/20,268.79,278.56,278.56,278.56
7/13/20,270.33,268.87,268.87,268.87
7/10/20,261.81,270.32,270.32,270.32
7/9/20,275.17,261.81,261.81,261.81
7/8/20,275.46,275.17,275.17,275.17
7/7/20,284.51,275.46,275.46,275.46
7/6/20,283.46,284.51,284.51,284.51
7/2/20,280.3,283.46,283.46,283.46
7/1/20,287.46,280.3,280.3,280.3
6/30/20,281.26,287.46,287.46,287.46
6/29/20,277.26,281.26,281.26,281.26
6/26/20,287.34,277.3,277.3,277.3
6/25/20,281.96,287.39,287.39,287.39
6/24/20,298.45,281.97,281.97,281.97
6/23/20,298.32,298.5,298.5,298.5
6/22/20,296.39,298.27,298.27,298.27
6/19/20,301.45,296.4,296.4,296.4
6/18/20,297.89,301.45,301.45,301.45
6/17/20,307.99,297.89,297.89,297.89
6/16/20,299.54,307.99,307.99,307.99
6/15/20,299.28,299.54,299.54,299.54
6/12/20,291.39,299.28,299.28,299.28
6/11/20,321.81,291.39,291.39,291.39
6/10/20,338.46,321.81,321.81,321.81
6/9/20,351.06,338.46,338.46,338.46
6/8/20,336.52,351.06,351.06,351.06
6/5/20,313.17,336.52,336.52,336.52
6/4/20,313.65,313.17,313.17,313.17
6/3/20,304.37,313.65,313.65,313.65
6/2/20,296.5,304.37,304.37,304.37
6/1/20,291.59,296.5,296.5,296.5
5/29/20,292.04,291.59,291.59,291.59
5/28/20,300.79,292.04,292.04,292.04
5/27/20,297.34,300.79,300.79,300.79
5/26/20,288.94,297.34,297.34,297.34
