Date, Open, High, Low, Close
09/29/20, 399.97, 395.37, 395.37, 395.37
09/28/20, 391.10, 399.97, 399.97, 399.97
09/25/20, 386.97, 391.10, 391.10, 391.10
09/24/20, 386.22, 386.97, 386.97, 386.97
09/23/20, 394.88, 386.22, 386.22, 386.22
09/22/20, 398.24, 394.88, 394.88, 394.88
09/21/20, 408.43, 398.24, 398.24, 398.24
09/18/20, 409.42, 408.43, 408.43, 408.43
09/17/20, 413.56, 409.42, 409.42, 409.42
09/16/20, 409.04, 413.56, 413.56, 413.56
09/15/20, 414.70, 409.04, 409.04, 409.04
09/14/20, 409.33, 414.70, 414.70, 414.70
09/11/20, 406.25, 409.33, 409.33, 409.33
09/10/20, 412.07, 406.25, 406.25, 406.25
09/09/20, 408.34, 412.07, 412.07, 412.07
09/08/20, 419.21, 408.34, 408.34, 408.34
09/04/20, 415.99, 425.42, 412.45, 419.21
09/03/20, 422.68, 415.99, 415.99, 415.99
09/02/20, 416.43, 422.68, 422.68, 422.68
09/01/20, 415.53, 416.43, 416.43, 416.43
08/31/20, 420.73, 415.53, 415.53, 415.53
08/28/20, 418.84, 420.73, 420.73, 420.73
08/27/20, 411.67, 418.84, 418.84, 418.84
08/26/20, 413.65, 411.67, 411.67, 411.67
08/25/20, 412.53, 413.65, 413.65, 413.65
08/24/20, 403.15, 412.53, 412.53, 412.53
08/21/20, 404.25, 403.18, 403.18, 403.18
08/20/20, 407.89, 404.26, 404.26, 404.26
08/19/20, 408.20, 407.91, 407.91, 407.91
08/18/20, 410.95, 408.22, 408.22, 408.22
08/17/20, 417.37, 410.98, 410.98, 410.98
08/14/20, 416.34, 417.39, 417.39, 417.39
08/13/20, 418.79, 416.33, 416.33, 416.33
08/12/20, 420.16, 418.90, 418.90, 418.90
08/11/20, 414.81, 420.12, 420.12, 420.12
08/10/20, 412.09, 414.73, 414.73, 414.73
08/07/20, 403.27, 412.08, 412.08, 412.08
08/06/20, 403.80, 403.29, 403.29, 403.29
08/05/20, 398.05, 403.89, 403.89, 403.89
08/04/20, 399.83, 398.07, 398.07, 398.07
08/03/20, 399.01, 399.83, 399.83, 399.83
07/31/20, 398.82, 399.06, 399.06, 399.06
07/30/20, 406.39, 399.02, 399.02, 399.02
07/29/20, 398.44, 406.48, 406.48, 406.48
07/28/20, 399.56, 398.45, 398.45, 398.45
07/27/20, 402.85, 399.58, 399.58, 399.58
07/24/20, 404.25, 402.85, 402.85, 402.85
07/23/20, 403.61, 404.33, 404.33, 404.33
07/22/20, 403.96, 403.61, 403.61, 403.61
07/21/20, 396.42, 403.96, 403.96, 403.96
07/20/20, 397.87, 396.40, 396.40, 396.40
07/17/20, 401.27, 397.87, 397.87, 397.87
07/16/20, 401.40, 401.26, 401.26, 401.26
07/15/20, 394.10, 401.47, 401.47, 401.47
07/14/20, 391.21, 393.95, 393.95, 393.95
07/13/20, 390.01, 391.22, 391.22, 391.22
07/10/20, 376.87, 389.97, 389.97, 389.97
07/09/20, 385.14, 376.87, 376.87, 376.87
07/08/20, 381.12, 385.14, 385.14, 385.14
07/07/20, 389.19, 381.12, 381.12, 381.12
07/06/20, 381.75, 389.19, 389.19, 389.19
07/02/20, 381.50, 390.79, 380.86, 381.75
07/01/20, 385.49, 381.50, 381.50, 381.50
06/30/20, 379.56, 385.49, 385.49, 385.49
06/29/20, 375.74, 379.56, 379.56, 379.56
06/26/20, 392.85, 375.84, 375.84, 375.84
06/25/20, 382.50, 392.86, 392.86, 392.86
06/24/20, 396.38, 382.51, 382.51, 382.51
06/23/20, 394.74, 396.43, 396.43, 396.43
06/22/20, 396.67, 394.78, 394.78, 394.78
06/19/20, 399.37, 396.68, 396.68, 396.68
06/18/20, 399.73, 399.37, 399.37, 399.37
06/17/20, 405.29, 399.73, 399.73, 399.73
06/16/20, 399.56, 405.29, 405.29, 405.29
06/15/20, 394.14, 399.56, 399.56, 399.56
06/12/20, 382.62, 394.14, 394.14, 394.14
06/11/20, 416.70, 382.62, 382.62, 382.62
06/10/20, 432.93, 416.70, 416.70, 416.70
06/09/20, 442.27, 432.93, 432.93, 432.93
06/08/20, 434.64, 442.27, 442.27, 442.27
06/05/20, 418.46, 434.64, 434.64, 434.64
06/04/20, 410.36, 418.46, 418.46, 418.46
06/03/20, 395.23, 410.36, 410.36, 410.36
06/02/20, 392.01, 395.23, 395.23, 395.23
06/01/20, 387.52, 392.01, 392.01, 392.01
05/29/20, 392.28, 387.52, 387.52, 387.52
05/28/20, 398.50, 392.28, 392.28, 392.28
05/27/20, 381.92, 398.50, 398.50, 398.50
05/26/20, 363.60, 381.92, 381.92, 381.92
05/22/20, 364.54, 364.66, 359.63, 363.60
05/21/20, 365.83, 364.54, 364.54, 364.54
05/20/20, 357.89, 365.83, 365.83, 365.83
05/19/20, 367.15, 357.89, 357.89, 357.89
05/18/20, 348.60, 367.15, 367.15, 367.15
05/15/20, 351.18, 348.60, 348.60, 348.60
05/14/20, 342.14, 351.18, 351.18, 351.18
05/13/20, 352.74, 342.14, 342.14, 342.14
05/12/20, 362.42, 352.74, 352.74, 352.74
05/11/20, 369.60, 362.42, 362.42, 362.42
05/08/20, 361.68, 369.60, 369.60, 369.60
05/07/20, 353.83, 361.68, 361.68, 361.68
05/06/20, 362.19, 353.83, 353.83, 353.83
05/05/20, 362.44, 362.19, 362.19, 362.19
05/04/20, 365.79, 362.44, 362.44, 362.44
05/01/20, 378.34, 365.79, 365.79, 365.79
04/30/20, 388.77, 378.34, 378.34, 378.34
04/29/20, 377.42, 388.77, 388.77, 388.77
04/28/20, 374.02, 377.42, 377.42, 377.42
04/27/20, 360.99, 374.02, 374.02, 374.02
04/24/20, 355.96, 360.99, 360.99, 360.99
04/23/20, 357.50, 355.96, 355.96, 355.96
04/22/20, 353.65, 357.50, 357.50, 357.50
04/21/20, 365.35, 353.65, 353.65, 353.65
04/20/20, 372.64, 365.35, 365.35, 365.35
04/17/20, 352.99, 372.64, 372.64, 372.64
04/16/20, 359.22, 352.99, 352.99, 352.99
04/15/20, 375.62, 359.22, 359.22, 359.22
04/14/20, 374.38, 375.62, 375.62, 375.62
04/13/20, 388.28, 374.38, 374.38, 374.38
04/09/20, 369.12, 393.01, 369.12, 388.28
04/08/20, 353.56, 369.12, 369.12, 369.12
04/07/20, 350.26, 353.56, 353.56, 353.56
04/06/20, 325.95, 350.26, 350.26, 350.26
04/03/20, 333.40, 325.95, 325.95, 325.95
04/02/20, 325.37, 333.40, 333.40, 333.40
04/01/20, 346.02, 325.37, 325.37, 325.37
03/31/20, 356.70, 346.02, 346.02, 346.02
03/30/20, 349.66, 356.70, 356.70, 356.70
03/27/20, 361.62, 349.66, 349.66, 349.66
03/26/20, 339.78, 361.62, 361.62, 361.62
03/25/20, 330.99, 339.78, 339.78, 339.78
03/24/20, 293.55, 330.99, 330.99, 330.99
03/23/20, 312.65, 293.55, 293.55, 293.55
03/20/20, 323.22, 312.65, 312.65, 312.65
03/19/20, 316.10, 323.22, 323.22, 323.22
03/18/20, 346.78, 316.10, 316.10, 316.10
03/17/20, 327.98, 346.78, 346.78, 346.78
03/16/20, 381.20, 327.87, 327.87, 327.87
03/13/20, 336.64, 381.20, 381.20, 381.20
03/12/20, 377.14, 336.66, 336.66, 336.66
03/11/20, 399.27, 377.30, 377.30, 377.30
03/10/20, 376.62, 399.35, 399.35, 399.35
03/09/20, 422.58, 376.60, 376.60, 376.60
03/06/20, 436.89, 422.74, 422.74, 422.74
03/05/20, 459.25, 437.12, 437.12, 437.12
03/04/20, 444.86, 459.55, 459.55, 459.55
03/03/20, 462.16, 444.92, 444.92, 444.92
03/02/20, 440.65, 462.16, 462.16, 462.16
02/28/20, 452.15, 440.70, 440.70, 440.70
02/27/20, 472.92, 452.33, 452.33, 452.33
02/26/20, 476.25, 473.01, 473.01, 473.01
02/25/20, 493.00, 476.22, 476.22, 476.22
02/24/20, 509.58, 493.01, 493.01, 493.01
02/21/20, 514.68, 509.70, 509.70, 509.70
02/20/20, 515.35, 514.70, 514.70, 514.70
02/19/20, 511.59, 515.37, 515.37, 515.37
02/18/20, 516.11, 511.60, 511.60, 511.60
02/14/20, 515.78, 516.48, 513.75, 516.18
02/13/20, 515.87, 515.78, 515.78, 515.78
02/12/20, 515.61, 516.01, 516.01, 516.01
02/11/20, 513.53, 515.63, 515.63, 515.63
02/10/20, 512.48, 513.56, 513.56, 513.56
02/07/20, 514.30, 512.49, 512.49, 512.49
02/06/20, 514.89, 514.33, 514.33, 514.33
02/05/20, 505.28, 515.20, 515.20, 515.20
02/04/20, 500.12, 505.25, 505.25, 505.25
02/03/20, 497.08, 500.06, 500.06, 500.06
01/31/20, 507.17, 497.10, 497.10, 497.10
01/30/20, 501.00, 507.35, 507.35, 507.35
01/29/20, 501.87, 501.09, 501.09, 501.09
01/28/20, 496.23, 501.89, 501.89, 501.89
01/27/20, 503.99, 496.28, 496.28, 496.28
01/24/20, 510.95, 504.03, 504.03, 504.03
01/23/20, 512.17, 510.99, 510.99, 510.99
01/22/20, 510.67, 512.19, 512.19, 512.19
01/21/20, 515.28, 510.83, 510.83, 510.83
01/17/20, 513.07, 515.97, 513.07, 515.28
01/16/20, 509.06, 513.07, 513.07, 513.07
01/15/20, 511.94, 509.14, 509.14, 509.14
01/14/20, 513.18, 511.95, 511.95, 511.95
