Date, Open, High, Low, Close
09/29/20, 1214.62, 1210.72, 1210.72, 1210.72
09/28/20, 1209.27, 1211.66, 1211.66, 1211.66
09/25/20, 1177.46, 1201.81, 1201.81, 1201.81
09/24/20, 1187.00, 1182.29, 1182.29, 1182.29
09/23/20, 1202.76, 1188.52, 1188.52, 1188.52
09/22/20, 1201.48, 1201.45, 1201.45, 1201.45
09/21/20, 1222.03, 1203.72, 1203.72, 1203.72
09/18/20, 1227.30, 1226.34, 1226.34, 1226.34
09/17/20, 1225.07, 1227.91, 1227.91, 1227.91
09/16/20, 1238.04, 1231.71, 1231.71, 1231.71
09/15/20, 1237.15, 1234.48, 1234.48, 1234.48
09/14/20, 1219.84, 1232.48, 1232.48, 1232.48
09/11/20, 1214.73, 1216.07, 1216.07, 1216.07
09/10/20, 1231.02, 1211.40, 1211.40, 1211.40
09/09/20, 1214.10, 1230.48, 1230.48, 1230.48
09/08/20, 1226.67, 1209.04, 1209.04, 1209.04
09/04/20, 1240.06, 1229.65, 1229.65, 1229.65
09/03/20, 1275.71, 1238.68, 1238.68, 1238.68
09/02/20, 1248.20, 1273.61, 1273.61, 1273.61
09/01/20, 1258.94, 1247.56, 1247.56, 1247.56
08/31/20, 1255.12, 1259.88, 1259.88, 1259.88
08/28/20, 1254.85, 1255.85, 1255.85, 1255.85
08/27/20, 1245.12, 1253.32, 1253.32, 1253.32
08/26/20, 1242.32, 1243.59, 1243.59, 1243.59
08/25/20, 1239.47, 1245.11, 1245.11, 1245.11
08/24/20, 1242.23, 1236.45, 1236.45, 1236.45
08/21/20, 1242.03, 1243.13, 1243.13, 1243.13
08/20/20, 1245.62, 1242.04, 1242.04, 1242.04
08/19/20, 1250.08, 1245.63, 1245.63, 1245.63
08/18/20, 1250.50, 1250.04, 1250.04, 1250.04
08/17/20, 1243.24, 1250.47, 1250.47, 1250.47
08/14/20, 1245.57, 1243.21, 1243.21, 1243.21
08/13/20, 1247.72, 1245.90, 1245.90, 1245.90
08/12/20, 1226.91, 1247.96, 1247.96, 1247.96
08/11/20, 1234.66, 1226.88, 1226.88, 1226.88
08/10/20, 1239.18, 1234.88, 1234.88, 1234.88
08/07/20, 1234.72, 1239.10, 1239.10, 1239.10
08/06/20, 1241.55, 1234.73, 1234.73, 1234.73
08/05/20, 1235.79, 1241.86, 1241.86, 1241.86
08/04/20, 1241.36, 1235.79, 1235.79, 1235.79
08/03/20, 1228.60, 1241.39, 1241.39, 1241.39
07/31/20, 1235.47, 1228.58, 1228.58, 1228.58
07/30/20, 1244.05, 1235.39, 1235.39, 1235.39
07/29/20, 1231.79, 1244.95, 1244.95, 1244.95
07/28/20, 1233.40, 1231.63, 1231.63, 1231.63
07/27/20, 1224.53, 1233.39, 1233.39, 1233.39
07/24/20, 1238.22, 1224.52, 1224.52, 1224.52
07/23/20, 1243.35, 1238.28, 1238.28, 1238.28
07/22/20, 1232.79, 1243.35, 1243.35, 1243.35
07/21/20, 1233.61, 1232.87, 1232.87, 1232.87
07/20/20, 1233.45, 1233.55, 1233.55, 1233.55
07/17/20, 1217.15, 1233.67, 1233.67, 1233.67
07/16/20, 1219.09, 1217.06, 1217.06, 1217.06
07/15/20, 1203.31, 1219.14, 1219.14, 1219.14
07/14/20, 1179.31, 1203.28, 1203.28, 1203.28
07/13/20, 1173.97, 1180.18, 1180.18, 1180.18
07/10/20, 1177.50, 1173.97, 1173.97, 1173.97
07/09/20, 1185.96, 1176.56, 1176.56, 1176.56
07/08/20, 1188.30, 1186.27, 1186.27, 1186.27
07/07/20, 1190.01, 1186.07, 1186.07, 1186.07
07/06/20, 1191.49, 1196.34, 1196.34, 1196.34
07/02/20, 1181.32, 1184.43, 1184.43, 1184.43
07/01/20, 1172.84, 1176.09, 1176.09, 1176.09
06/30/20, 1147.26, 1167.80, 1167.80, 1167.80
06/29/20, 1137.38, 1147.04, 1147.04, 1147.04
06/26/20, 1151.39, 1137.37, 1137.37, 1137.37
06/25/20, 1139.43, 1151.43, 1151.43, 1151.43
06/24/20, 1170.85, 1139.72, 1139.72, 1139.72
06/23/20, 1165.80, 1170.82, 1170.82, 1170.82
06/22/20, 1169.92, 1165.74, 1165.74, 1165.74
06/19/20, 1164.37, 1169.95, 1169.95, 1169.95
06/18/20, 1157.66, 1159.85, 1159.85, 1159.85
06/17/20, 1168.05, 1163.36, 1163.36, 1163.36
06/16/20, 1152.00, 1164.27, 1164.27, 1164.27
06/15/20, 1123.56, 1136.59, 1136.59, 1136.59
06/12/20, 1141.43, 1134.51, 1134.51, 1134.51
06/11/20, 1188.93, 1126.67, 1126.67, 1126.67
06/10/20, 1199.67, 1193.84, 1193.84, 1193.84
06/09/20, 1207.67, 1195.49, 1195.49, 1195.49
06/08/20, 1198.65, 1208.56, 1208.56, 1208.56
06/05/20, 1184.12, 1200.89, 1200.89, 1200.89
06/04/20, 1188.23, 1181.32, 1181.32, 1181.32
06/03/20, 1195.63, 1190.92, 1190.92, 1190.92
06/02/20, 1186.40, 1193.30, 1193.30, 1193.30
06/01/20, 1189.26, 1186.09, 1186.09, 1186.09
05/29/20, 1186.81, 1198.14, 1198.14, 1198.14
05/28/20, 1177.02, 1183.11, 1183.11, 1183.11
05/27/20, 1156.87, 1168.41, 1168.41, 1168.41
05/26/20, 1168.30, 1156.27, 1156.27, 1156.27
05/22/20, 1155.46, 1158.51, 1158.51, 1158.51
05/21/20, 1164.38, 1156.32, 1156.32, 1156.32
05/20/20, 1170.98, 1165.78, 1165.78, 1165.78
05/19/20, 1176.40, 1164.35, 1164.35, 1164.35
05/18/20, 1184.38, 1178.58, 1178.58, 1178.58
05/15/20, 1156.04, 1167.63, 1167.63, 1167.63
05/14/20, 1139.46, 1159.19, 1159.19, 1159.19
05/13/20, 1158.24, 1146.87, 1146.87, 1146.87
05/12/20, 1181.12, 1159.62, 1159.62, 1159.62
05/11/20, 1155.61, 1177.17, 1177.17, 1177.17
05/08/20, 1159.49, 1157.47, 1157.47, 1157.47
05/07/20, 1158.87, 1151.26, 1151.26, 1151.26
05/06/20, 1166.50, 1151.78, 1151.78, 1151.78
05/05/20, 1148.02, 1163.21, 1163.21, 1163.21
05/04/20, 1137.80, 1138.72, 1138.72, 1138.72
05/01/20, 1152.53, 1137.89, 1137.89, 1137.89
04/30/20, 1164.30, 1162.03, 1162.03, 1162.03
04/29/20, 1168.07, 1167.15, 1167.15, 1167.15
04/28/20, 1187.96, 1158.58, 1158.58, 1158.58
04/27/20, 1173.44, 1183.79, 1183.79, 1183.79
04/24/20, 1158.91, 1168.43, 1168.43, 1168.43
04/23/20, 1151.80, 1151.83, 1151.83, 1151.83
04/22/20, 1143.09, 1146.31, 1146.31, 1146.31
04/21/20, 1150.26, 1128.23, 1128.23, 1128.23
04/20/20, 1167.64, 1164.79, 1164.79, 1164.79
04/17/20, 1170.26, 1173.93, 1173.93, 1173.93
04/16/20, 1133.15, 1150.15, 1150.15, 1150.15
04/15/20, 1121.34, 1125.42, 1125.42, 1125.42
04/14/20, 1111.73, 1131.35, 1131.35, 1131.35
04/13/20, 1105.03, 1095.15, 1095.15, 1095.15
04/09/20, 1100.14, 1106.01, 1106.01, 1106.01
04/08/20, 1061.43, 1099.88, 1099.88, 1099.88
04/07/20, 1085.42, 1055.49, 1055.49, 1055.49
04/06/20, 1037.88, 1065.43, 1065.43, 1065.43
