Date, Open, High, Low, Close
09/29/20, 657.32, 652.39, 652.39, 652.39
09/28/20, 654.69, 658.23, 658.23, 658.23
09/25/20, 633.55, 646.54, 646.54, 646.54
09/24/20, 635.37, 637.05, 637.05, 637.05
09/23/20, 649.51, 636.51, 636.51, 636.51
09/22/20, 641.80, 647.93, 647.93, 647.93
09/21/20, 654.16, 641.33, 641.33, 641.33
09/18/20, 669.71, 663.78, 663.78, 663.78
09/17/20, 662.77, 671.06, 671.06, 671.06
09/16/20, 666.37, 669.49, 669.49, 669.49
09/15/20, 664.12, 662.95, 662.95, 662.95
09/14/20, 658.78, 662.43, 662.43, 662.43
09/11/20, 647.29, 653.85, 653.85, 653.85
09/10/20, 654.51, 644.91, 644.91, 644.91
09/09/20, 648.13, 653.19, 653.19, 653.19
09/08/20, 650.91, 643.11, 643.11, 643.11
09/04/20, 660.52, 655.80, 655.80, 655.80
09/03/20, 674.02, 654.42, 654.42, 654.42
09/02/20, 663.72, 673.29, 673.29, 673.29
09/01/20, 653.76, 662.50, 662.50, 662.50
08/31/20, 662.33, 656.22, 656.22, 656.22
08/28/20, 659.13, 664.07, 664.07, 664.07
08/27/20, 658.92, 658.00, 658.00, 658.00
08/26/20, 653.83, 655.85, 655.85, 655.85
08/25/20, 659.91, 655.54, 655.54, 655.54
08/24/20, 644.60, 656.15, 656.15, 656.15
08/21/20, 642.25, 644.59, 644.59, 644.59
08/20/20, 645.57, 642.70, 642.70, 642.70
08/19/20, 647.66, 645.80, 645.80, 645.80
08/18/20, 651.16, 647.64, 647.64, 647.64
08/17/20, 654.39, 651.15, 651.15, 651.15
08/14/20, 651.61, 654.39, 654.39, 654.39
08/13/20, 655.33, 651.68, 651.68, 651.68
08/12/20, 653.60, 655.94, 655.94, 655.94
08/11/20, 650.18, 653.59, 653.59, 653.59
08/10/20, 634.74, 650.15, 650.15, 650.15
08/07/20, 623.89, 634.74, 634.74, 634.74
08/06/20, 621.91, 623.94, 623.94, 623.94
08/05/20, 609.98, 621.97, 621.97, 621.97
08/04/20, 608.30, 609.97, 609.97, 609.97
08/03/20, 605.88, 608.31, 608.31, 608.31
07/31/20, 608.32, 605.88, 605.88, 605.88
07/30/20, 614.20, 608.33, 608.33, 608.33
07/29/20, 605.29, 614.28, 614.28, 614.28
