Date, Open, High, Low, Close
09/29/20, 2042.32, 2036.10, 2036.10, 2036.10
09/28/20, 2005.16, 2042.32, 2042.32, 2042.32
09/25/20, 1958.17, 2005.16, 2005.16, 2005.16
09/24/20, 1946.14, 1958.17, 1958.17, 1958.17
09/23/20, 2010.71, 1946.14, 1946.14, 1946.14
09/22/20, 1978.14, 2010.71, 2010.71, 2010.71
09/21/20, 1963.28, 1978.14, 1978.14, 1978.14
09/18/20, 1996.42, 1963.28, 1963.28, 1963.28
09/17/20, 2013.40, 1996.42, 1996.42, 1996.42
09/16/20, 2045.28, 2013.40, 2013.40, 2013.40
09/15/20, 2025.09, 2045.28, 2045.28, 2045.28
09/14/20, 1983.99, 2025.09, 2025.09, 2025.09
09/11/20, 1998.97, 1983.99, 1983.99, 1983.99
09/10/20, 2045.52, 1998.97, 1998.97, 1998.97
09/09/20, 1979.28, 2045.52, 2045.52, 2045.52
09/08/20, 2074.52, 1979.28, 1979.28, 1979.28
09/04/20, 2102.78, 2122.09, 1986.23, 2074.52
09/03/20, 2232.92, 2102.78, 2102.78, 2102.78
09/02/20, 2212.54, 2232.92, 2232.92, 2232.92
09/01/20, 2172.20, 2212.54, 2212.54, 2212.54
08/31/20, 2164.42, 2172.20, 2172.20, 2172.20
08/28/20, 2143.83, 2164.42, 2164.42, 2164.42
08/27/20, 2143.23, 2143.83, 2143.83, 2143.83
08/26/20, 2100.18, 2143.23, 2143.23, 2143.23
08/25/20, 2089.28, 2100.18, 2100.18, 2100.18
08/24/20, 2071.26, 2089.28, 2089.28, 2089.28
08/21/20, 2046.38, 2071.21, 2071.21, 2071.21
08/20/20, 2016.92, 2046.41, 2046.41, 2046.41
08/19/20, 2021.95, 2017.41, 2017.41, 2017.41
08/18/20, 2013.93, 2022.92, 2022.92, 2022.92
08/17/20, 2001.51, 2014.98, 2014.98, 2014.98
08/14/20, 2003.99, 2001.52, 2001.52, 2001.52
08/13/20, 2002.49, 2003.46, 2003.46, 2003.46
