Date, Open, High, Low, Close
09/29/20, 399.33, 396.35, 396.35, 396.35
09/28/20, 397.49, 399.24, 399.24, 399.24
09/25/20, 387.00, 392.92, 392.92, 392.92
09/24/20, 386.57, 389.79, 389.79, 389.79
09/23/20, 397.32, 387.07, 387.07, 387.07
09/22/20, 398.41, 398.76, 398.76, 398.76
09/21/20, 404.49, 397.92, 397.92, 397.92
09/18/20, 418.20, 411.95, 411.95, 411.95
09/17/20, 412.12, 419.18, 419.18, 419.18
09/16/20, 415.95, 416.01, 416.01, 416.01
09/15/20, 415.96, 415.72, 415.72, 415.72
09/14/20, 410.58, 413.76, 413.76, 413.76
09/11/20, 405.60, 408.16, 408.16, 408.16
09/10/20, 408.20, 402.88, 402.88, 402.88
09/09/20, 400.83, 406.70, 406.70, 406.70
09/08/20, 400.07, 396.46, 396.46, 396.46
09/04/20, 406.28, 404.85, 404.85, 404.85
09/03/20, 414.20, 404.32, 404.32, 404.32
09/02/20, 406.23, 415.86, 415.86, 415.86
09/01/20, 395.16, 406.58, 406.58, 406.58
08/31/20, 401.01, 395.69, 395.69, 395.69
08/28/20, 397.89, 401.66, 401.66, 401.66
08/27/20, 399.96, 397.28, 397.28, 397.28
08/26/20, 393.72, 398.23, 398.23, 398.23
08/25/20, 397.22, 394.39, 394.39, 394.39
08/24/20, 389.12, 395.67, 395.67, 395.67
08/21/20, 391.00, 388.97, 388.97, 388.97
08/20/20, 392.59, 391.06, 391.06, 391.06
08/19/20, 394.00, 392.72, 392.72, 392.72
08/18/20, 395.39, 393.98, 393.98, 393.98
08/17/20, 394.08, 395.41, 395.41, 395.41
08/14/20, 393.21, 393.93, 393.93, 393.93
08/13/20, 393.35, 393.35, 393.35, 393.35
08/12/20, 392.04, 393.64, 393.64, 393.64
08/11/20, 392.05, 391.16, 391.16, 391.16
08/10/20, 388.07, 391.86, 391.86, 391.86
08/07/20, 386.39, 388.01, 388.01, 388.01
08/06/20, 388.17, 386.57, 386.57, 386.57
08/05/20, 382.52, 388.22, 388.22, 388.22
08/04/20, 377.14, 382.36, 382.36, 382.36
08/03/20, 379.80, 377.34, 377.34, 377.34
07/31/20, 379.36, 379.77, 379.77, 379.77
