Date, Open, High, Low, Close
09/29/20, 217.76, 217.76, 217.76, 217.76
09/28/20, 219.02, 219.02, 219.02, 219.02
09/25/20, 215.36, 215.36, 215.36, 215.36
09/24/20, 211.22, 211.22, 211.22, 211.23
09/23/20, 210.45, 210.45, 210.45, 210.45
09/22/20, 216.76, 216.76, 216.76, 216.76
09/21/20, 214.06, 214.06, 214.06, 214.06
09/18/20, 220.08, 220.08, 220.08, 220.08
09/17/20, 224.47, 224.47, 224.47, 224.47
09/16/20, 229.49, 229.49, 229.49, 229.49
09/15/20, 228.26, 228.26, 228.26, 228.26
09/14/20, 225.13, 225.13, 225.13, 225.13
09/11/20, 220.38, 220.38, 220.38, 220.38
09/10/20, 220.99, 220.99, 220.99, 220.99
09/09/20, 224.28, 224.28, 224.28, 224.28
09/08/20, 221.56, 221.56, 221.56, 221.56
09/04/20, 224.44, 224.44, 224.44, 224.44
09/03/20, 225.49, 225.49, 225.49, 225.49
09/02/20, 229.25, 229.25, 229.25, 229.25
09/01/20, 224.23, 224.23, 224.23, 224.23
08/31/20, 224.57, 224.57, 224.57, 224.57
08/28/20, 226.49, 226.49, 226.49, 226.49
08/27/20, 224.86, 224.86, 224.86, 224.86
08/26/20, 221.82, 221.82, 221.82, 221.82
08/25/20, 223.48, 223.48, 223.48, 223.48
08/24/20, 222.80, 222.80, 222.80, 222.80
08/21/20, 222.26, 222.26, 222.26, 222.26
08/20/20, 221.72, 221.72, 221.72, 221.72
08/19/20, 219.35, 219.35, 219.35, 219.35
08/18/20, 223.86, 223.86, 223.86, 223.86
08/17/20, 224.20, 224.20, 224.20, 224.20
08/14/20, 222.22, 222.22, 222.22, 222.22
08/13/20, 221.91, 221.91, 221.91, 221.91
08/12/20, 224.67, 224.67, 224.67, 224.67
08/11/20, 221.75, 221.75, 221.75, 221.74
08/10/20, 225.96, 225.96, 225.96, 225.96
08/07/20, 226.33, 226.33, 226.33, 226.33
08/06/20, 223.31, 223.31, 223.31, 223.31
08/05/20, 223.10, 223.10, 223.10, 223.10
08/04/20, 224.53, 224.53, 224.53, 224.53
08/03/20, 221.52, 221.52, 221.52, 221.52
07/31/20, 224.82, 224.82, 224.82, 224.82
07/30/20, 225.18, 225.18, 225.18, 225.18
07/29/20, 227.07, 227.07, 227.07, 227.07
07/28/20, 222.85, 222.85, 222.85, 222.85
07/27/20, 218.37, 218.37, 218.37, 218.37
07/24/20, 215.96, 215.96, 215.96, 215.96
07/23/20, 216.82, 216.82, 216.82, 216.82
07/22/20, 217.89, 217.89, 217.89, 217.89
07/21/20, 215.21, 215.21, 215.21, 215.21
07/20/20, 215.19, 215.19, 215.19, 215.19
07/17/20, 217.37, 217.37, 217.37, 217.37
07/16/20, 214.37, 214.37, 214.37, 214.37
07/15/20, 216.95, 216.95, 216.95, 216.95
07/14/20, 215.85, 215.85, 215.85, 215.85
07/13/20, 213.77, 213.77, 213.77, 213.77
07/10/20, 217.32, 217.32, 217.32, 217.32
07/09/20, 216.96, 216.96, 216.96, 216.96
07/08/20, 217.69, 217.69, 217.69, 217.69
07/07/20, 218.04, 218.04, 218.04, 218.04
07/06/20, 221.59, 221.59, 221.59, 221.59
07/02/20, 221.21, 221.21, 221.21, 221.21
07/01/20, 221.96, 221.96, 221.96, 221.96
06/30/20, 216.39, 216.39, 216.39, 216.39
06/29/20, 213.00, 213.00, 213.00, 213.00
06/26/20, 209.45, 209.45, 209.45, 209.45
06/25/20, 213.31, 213.31, 213.31, 213.32
06/24/20, 211.03, 211.03, 211.03, 211.03
