Date, Open, High, Low, Close
09/29/20, 300.19, 299.06, 299.06, 299.06
09/28/20, 300.09, 299.29, 299.29, 299.29
09/25/20, 292.22, 298.51, 298.51, 298.51
09/24/20, 290.17, 293.78, 293.78, 293.78
09/23/20, 295.39, 290.39, 290.39, 290.39
09/22/20, 293.41, 295.13, 295.13, 295.13
09/21/20, 292.53, 293.25, 293.25, 293.25
09/18/20, 299.56, 294.96, 294.96, 294.96
09/17/20, 300.54, 300.35, 300.35, 300.35
09/16/20, 301.44, 302.84, 302.84, 302.84
09/15/20, 302.40, 303.49, 303.49, 303.49
09/14/20, 298.79, 301.28, 301.28, 301.28
09/11/20, 296.88, 297.40, 297.40, 297.40
09/10/20, 300.56, 296.41, 296.41, 296.41
09/09/20, 300.07, 301.76, 301.76, 301.76
09/08/20, 299.93, 298.01, 298.01, 298.01
09/04/20, 302.72, 299.79, 299.79, 299.79
09/03/20, 305.90, 301.47, 301.47, 301.47
09/02/20, 296.26, 305.31, 305.31, 305.31
09/01/20, 298.47, 296.06, 296.06, 296.06
08/31/20, 298.14, 299.46, 299.46, 299.46
08/28/20, 298.14, 298.50, 298.50, 298.50
08/27/20, 297.62, 297.71, 297.71, 297.71
08/26/20, 298.75, 296.83, 296.83, 296.83
08/25/20, 303.81, 300.45, 300.45, 300.45
08/24/20, 300.46, 303.24, 303.24, 303.24
08/21/20, 300.04, 300.44, 300.44, 300.44
08/20/20, 302.63, 300.05, 300.05, 300.05
08/19/20, 303.65, 302.73, 302.73, 302.73
08/18/20, 305.07, 303.69, 303.69, 303.69
08/17/20, 305.62, 305.18, 305.18, 305.18
08/14/20, 308.16, 305.62, 305.62, 305.62
08/13/20, 309.08, 308.43, 308.43, 308.43
08/12/20, 305.17, 309.61, 309.61, 309.61
08/11/20, 311.65, 305.17, 305.17, 305.17
08/10/20, 312.16, 311.82, 311.82, 311.82
08/07/20, 306.38, 312.12, 312.12, 312.12
08/06/20, 304.90, 306.60, 306.60, 306.60
08/05/20, 308.93, 305.02, 305.02, 305.02
08/04/20, 305.56, 308.88, 308.88, 308.88
08/03/20, 309.10, 305.60, 305.60, 305.60
07/31/20, 308.37, 309.12, 309.12, 309.12
07/30/20, 308.37, 308.50, 308.50, 308.50
07/29/20, 307.27, 308.56, 308.56, 308.56
07/28/20, 302.54, 307.22, 307.22, 307.22
07/27/20, 306.21, 302.51, 302.51, 302.51
07/24/20, 308.35, 306.37, 306.37, 306.37
07/23/20, 308.04, 308.32, 308.32, 308.32
07/22/20, 303.29, 307.97, 307.97, 307.97
07/21/20, 301.96, 303.32, 303.32, 303.32
07/20/20, 306.05, 301.92, 301.92, 301.92
07/17/20, 299.26, 306.08, 306.08, 306.08
07/16/20, 295.30, 299.25, 299.25, 299.25
07/15/20, 296.74, 295.34, 295.34, 295.34
07/14/20, 293.74, 296.64, 296.64, 296.64
07/13/20, 293.63, 293.78, 293.78, 293.78
07/10/20, 288.07, 293.66, 293.66, 293.66
07/09/20, 290.41, 288.19, 288.19, 288.19
07/08/20, 288.97, 292.01, 292.01, 292.01
07/07/20, 287.83, 289.43, 289.43, 289.43
07/06/20, 295.24, 290.44, 290.44, 290.44
07/02/20, 295.57, 294.20, 294.20, 294.20
07/01/20, 286.88, 293.53, 293.53, 293.53
06/30/20, 285.86, 286.96, 286.96, 286.96
06/29/20, 280.75, 285.79, 285.79, 285.79
06/26/20, 283.50, 280.56, 280.56, 280.56
06/25/20, 286.86, 283.48, 283.48, 283.48
06/24/20, 289.62, 286.98, 286.98, 286.98
06/23/20, 293.06, 289.70, 289.70, 289.70
06/22/20, 288.92, 292.80, 292.80, 292.80
06/19/20, 301.82, 288.92, 288.92, 288.92
06/18/20, 296.59, 298.17, 298.17, 298.17
06/17/20, 300.48, 298.30, 298.30, 298.30
06/16/20, 304.99, 299.22, 299.22, 299.22
06/15/20, 290.56, 297.85, 297.85, 297.85
06/12/20, 302.42, 296.00, 296.00, 296.00
06/11/20, 304.01, 296.64, 296.64, 296.64
06/10/20, 310.78, 308.93, 308.93, 308.93
06/09/20, 313.96, 310.60, 310.60, 310.60
06/08/20, 308.79, 317.33, 317.33, 317.33
06/05/20, 307.90, 309.17, 309.17, 309.17
06/04/20, 308.90, 305.03, 305.03, 305.03
06/03/20, 308.61, 311.09, 311.09, 311.09
06/02/20, 306.69, 307.11, 307.11, 307.11
06/01/20, 301.64, 305.28, 305.28, 305.28
05/29/20, 297.98, 302.05, 302.05, 302.05
05/28/20, 294.83, 299.66, 299.66, 299.66
05/27/20, 292.29, 290.83, 290.83, 290.83
05/26/20, 290.29, 287.76, 287.76, 287.76
05/22/20, 282.31, 285.67, 285.67, 285.67
05/21/20, 284.70, 282.46, 282.46, 282.46
05/20/20, 286.22, 285.33, 285.33, 285.33
05/19/20, 287.02, 283.92, 283.92, 283.92
05/18/20, 284.55, 288.82, 288.82, 288.82
05/15/20, 278.96, 277.34, 277.34, 277.34
05/14/20, 275.76, 281.30, 281.30, 281.30
05/13/20, 279.52, 278.65, 278.65, 278.65
05/12/20, 284.66, 281.18, 281.18, 281.18
05/11/20, 282.71, 283.74, 283.74, 283.74
05/08/20, 282.87, 285.10, 285.10, 285.10
05/07/20, 281.60, 279.48, 279.48, 279.48
05/06/20, 289.22, 278.26, 278.26, 278.26
05/05/20, 286.91, 288.39, 288.39, 288.39
05/04/20, 283.89, 285.74, 285.74, 285.74
05/01/20, 287.67, 283.60, 283.60, 283.60
04/30/20, 295.92, 290.71, 290.71, 290.71
04/29/20, 305.28, 297.80, 297.80, 297.80
04/28/20, 303.86, 300.56, 300.56, 300.56
04/27/20, 298.29, 299.50, 299.50, 299.50
04/24/20, 294.70, 296.27, 296.27, 296.27
04/23/20, 299.87, 294.42, 294.42, 294.42
04/22/20, 296.02, 299.70, 299.70, 299.70
04/21/20, 291.08, 291.12, 291.12, 291.12
04/20/20, 305.00, 295.87, 295.87, 295.87
04/17/20, 303.92, 307.83, 307.83, 307.83
04/16/20, 299.68, 297.96, 297.96, 297.96
04/15/20, 301.95, 297.74, 297.74, 297.74
04/14/20, 305.87, 308.09, 308.09, 308.09
04/13/20, 306.28, 299.19, 299.19, 299.19
04/09/20, 298.47, 309.35, 309.35, 309.35
04/08/20, 281.77, 295.33, 295.33, 295.33
04/07/20, 291.36, 280.17, 280.17, 280.17
04/06/20, 272.87, 283.61, 283.61, 283.61
04/03/20, 269.57, 262.97, 262.97, 262.97
04/02/20, 260.73, 272.85, 272.85, 272.85
04/01/20, 270.23, 264.53, 264.53, 264.53
03/31/20, 290.38, 281.77, 281.77, 281.77
03/30/20, 287.45, 293.57, 293.57, 293.57
03/27/20, 272.34, 283.10, 283.10, 283.10
03/26/20, 260.08, 281.63, 281.63, 281.63
03/25/20, 251.37, 259.84, 259.84, 259.84
03/24/20, 236.46, 252.66, 252.66, 252.66
03/23/20, 236.84, 227.75, 227.75, 227.75
03/20/20, 262.69, 240.57, 240.57, 240.57
03/19/20, 276.62, 262.00, 262.00, 262.00
03/18/20, 285.09, 277.16, 277.16, 277.16
03/17/20, 257.31, 290.64, 290.64, 290.64
03/16/20, 264.00, 256.95, 256.95, 256.95
03/13/20, 275.33, 290.48, 290.48, 290.48
03/12/20, 306.10, 275.20, 275.20, 275.20
03/11/20, 322.82, 306.44, 306.44, 306.44
03/10/20, 319.69, 322.90, 322.90, 322.90
03/09/20, 337.98, 319.67, 319.67, 319.67
03/06/20, 341.25, 338.78, 338.78, 338.78
03/05/20, 346.93, 341.41, 341.41, 341.41
03/04/20, 328.43, 347.07, 347.07, 347.07
03/03/20, 332.21, 328.38, 328.38, 328.38
03/02/20, 313.86, 332.25, 332.25, 332.25
02/28/20, 324.39, 313.85, 313.85, 313.85
02/27/20, 340.05, 324.63, 324.63, 324.63
02/26/20, 344.03, 340.61, 340.61, 340.61
02/25/20, 351.52, 343.93, 343.93, 343.93
02/24/20, 355.87, 351.54, 351.54, 351.54
02/21/20, 356.29, 355.67, 355.67, 355.67
02/20/20, 355.18, 356.32, 356.32, 356.32
02/19/20, 358.92, 355.20, 355.20, 355.20
02/18/20, 356.27, 359.13, 359.13, 359.13
02/14/20, 353.84, 356.33, 356.33, 356.33
02/13/20, 350.20, 354.04, 354.04, 354.04
02/12/20, 350.28, 350.46, 350.46, 350.46
02/11/20, 349.06, 350.39, 350.39, 350.39
02/10/20, 347.87, 349.06, 349.06, 349.06
02/07/20, 348.87, 347.89, 347.89, 347.89
02/06/20, 348.90, 348.98, 348.98, 348.98
02/05/20, 347.59, 349.07, 349.07, 349.07
02/04/20, 351.19, 347.61, 347.61, 347.61
02/03/20, 350.11, 351.22, 351.22, 351.22
01/31/20, 351.58, 350.08, 350.08, 350.08
01/30/20, 348.44, 351.64, 351.64, 351.64
01/29/20, 347.46, 348.53, 348.53, 348.53
01/28/20, 346.22, 347.48, 347.48, 347.48
01/27/20, 347.25, 346.20, 346.20, 346.20
01/24/20, 346.11, 347.25, 347.25, 347.25
01/23/20, 343.00, 346.11, 346.11, 346.11
01/22/20, 341.97, 342.96, 342.96, 342.96
01/21/20, 339.08, 341.95, 341.95, 341.95
01/17/20, 336.61, 339.11, 339.11, 339.11
01/16/20, 334.53, 336.55, 336.55, 336.55
01/15/20, 329.91, 334.52, 334.52, 334.52
01/14/20, 328.95, 329.88, 329.88, 329.88
01/13/20, 326.82, 328.97, 328.97, 328.97
01/10/20, 326.06, 326.82, 326.82, 326.82
01/09/20, 324.32, 326.03, 326.03, 326.03
01/08/20, 324.34, 324.33, 324.33, 324.33
01/07/20, 324.94, 324.34, 324.34, 324.34
01/06/20, 324.18, 324.98, 324.98, 324.98
01/03/20, 323.83, 324.18, 324.18, 324.18
01/02/20, 328.39, 323.82, 323.82, 323.82
12/31/19, 326.68, 328.36, 328.36, 328.36
12/30/19, 326.71, 326.67, 326.67, 326.67
12/27/19, 325.86, 326.82, 326.82, 326.82
12/26/19, 325.38, 325.96, 325.96, 325.96
12/24/19, 324.93, 325.36, 325.36, 325.36
12/23/19, 328.23, 325.02, 325.02, 325.02
12/20/19, 325.81, 328.25, 328.25, 328.25
12/19/19, 325.81, 325.71, 325.71, 325.71
12/18/19, 324.46, 325.89, 325.89, 325.89
12/17/19, 323.72, 324.48, 324.48, 324.48
12/16/19, 319.59, 323.71, 323.71, 323.71
12/13/19, 316.83, 319.58, 319.58, 319.58
12/12/19, 318.45, 316.92, 316.92, 316.92
12/11/19, 317.46, 318.48, 318.48, 318.48
12/10/19, 317.54, 317.43, 317.43, 317.43
12/09/19, 318.92, 317.56, 317.56, 317.56
12/06/19, 319.82, 319.12, 319.12, 319.12
12/05/19, 319.46, 319.83, 319.83, 319.83
12/04/19, 317.47, 319.77, 319.77, 319.77
12/03/19, 315.90, 317.48, 317.48, 317.48
12/02/19, 318.29, 315.90, 315.90, 315.90
11/29/19, 318.85, 318.36, 318.36, 318.36
11/27/19, 318.28, 318.81, 318.81, 318.81
11/26/19, 317.25, 318.51, 318.51, 318.51
11/25/19, 318.47, 317.30, 317.30, 317.30
11/22/19, 318.39, 318.47, 318.47, 318.47
11/21/19, 319.54, 318.39, 318.39, 318.39
11/20/19, 317.51, 319.57, 319.57, 319.57
11/19/19, 318.39, 317.58, 317.58, 317.58
11/18/19, 317.88, 318.39, 318.39, 318.39
11/15/19, 316.81, 317.84, 317.84, 317.84
11/14/19, 315.90, 317.00, 317.00, 317.00
11/13/19, 311.65, 316.28, 316.28, 316.28
11/12/19, 310.86, 311.71, 311.71, 311.71
11/11/19, 313.00, 310.94, 310.94, 310.94
11/08/19, 314.22, 313.06, 313.06, 313.06
11/07/19, 318.34, 314.25, 314.25, 314.25
11/06/19, 317.59, 318.54, 318.54, 318.54
11/05/19, 320.99, 317.71, 317.71, 317.71
11/04/19, 325.18, 321.00, 321.00, 321.00
11/01/19, 325.79, 325.17, 325.17, 325.17
10/31/19, 324.28, 325.85, 325.85, 325.85
10/30/19, 321.50, 324.36, 324.36, 324.36
10/29/19, 321.22, 321.58, 321.58, 321.58
10/28/19, 325.45, 321.23, 321.23, 321.23
10/25/19, 329.16, 325.49, 325.49, 325.49
10/24/19, 327.87, 329.07, 329.07, 329.07
10/23/19, 326.56, 327.78, 327.78, 327.78
10/22/19, 325.15, 326.58, 326.58, 326.58
10/21/19, 323.96, 325.13, 325.13, 325.13
10/18/19, 322.71, 323.94, 323.94, 323.94
10/17/19, 321.82, 322.76, 322.76, 322.76
10/16/19, 321.16, 322.03, 322.03, 322.03
10/15/19, 322.24, 321.27, 321.27, 321.27
10/14/19, 324.41, 322.23, 322.23, 322.23
10/11/19, 325.51, 324.41, 324.41, 324.41
10/10/19, 325.86, 325.54, 325.54, 325.54
10/09/19, 324.28, 325.92, 325.92, 325.92
10/08/19, 327.59, 324.27, 324.27, 324.27
10/07/19, 329.06, 327.59, 327.59, 327.59
10/04/19, 324.14, 329.06, 329.06, 329.06
10/03/19, 323.27, 324.12, 324.12, 324.12
10/02/19, 327.48, 323.25, 323.25, 323.25
10/01/19, 328.47, 327.49, 327.49, 327.49
09/30/19, 328.20, 328.49, 328.49, 328.49
09/27/19, 329.33, 328.29, 328.29, 328.29
09/26/19, 327.83, 329.42, 329.42, 329.42
09/25/19, 327.93, 327.84, 327.84, 327.84
09/24/19, 324.57, 327.93, 327.93, 327.93
09/23/19, 324.10, 324.50, 324.50, 324.50
09/20/19, 322.88, 324.08, 324.08, 324.08
09/19/19, 321.59, 322.88, 322.88, 322.88
09/18/19, 320.27, 321.72, 321.72, 321.72
09/17/19, 317.34, 320.21, 320.21, 320.21
09/16/19, 317.14, 317.38, 317.38, 317.38
09/13/19, 318.85, 317.12, 317.12, 317.12
09/12/19, 318.52, 318.94, 318.94, 318.94
09/11/19, 315.43, 318.51, 318.51, 318.51
09/10/19, 315.03, 315.43, 315.43, 315.43
09/09/19, 316.96, 315.12, 315.12, 315.12
09/06/19, 318.08, 317.09, 317.09, 317.09
09/05/19, 321.65, 318.15, 318.15, 318.15
