Date, Open, High, Low, Close, Volume
09/29/20, 167.63, 167.90, 167.41, 167.59, 62867
09/28/20, 167.62, 167.73, 167.30, 167.47, 71974
09/25/20, 167.65, 167.91, 167.50, 167.70, 147200
09/24/20, 167.41, 167.67, 167.23, 167.59, 222027
09/23/20, 167.01, 167.15, 166.41, 167.13, 173804
09/22/20, 166.93, 167.29, 166.65, 166.93, 106969
09/21/20, 167.32, 167.76, 166.80, 166.93, 142873
09/18/20, 166.80, 166.90, 166.23, 166.35, 192287
09/17/20, 167.46, 167.52, 166.56, 166.81, 87570
09/16/20, 167.35, 167.41, 166.05, 166.58, 236454
09/15/20, 166.75, 166.97, 166.52, 166.83, 85132
09/14/20, 167.27, 167.50, 166.819, 166.97, 80906
09/11/20, 166.85, 167.11, 166.71, 167.05, 152559
09/10/20, 165.47, 167.54, 165.13, 166.61, 252669
09/09/20, 166.80, 166.88, 165.71, 166.13, 202367
09/08/20, 166.86, 167.475, 166.47, 166.48, 162209
09/04/20, 166.89, 167.19, 165.58, 165.80, 225238
09/03/20, 167.98, 169.175, 167.92, 168.11, 151447
09/02/20, 166.38, 167.87, 166.255, 167.77, 314476
09/01/20, 165.16, 166.77, 164.77, 166.65, 257514
08/31/20, 165.05, 166.20, 165.05, 165.40, 507027
08/28/20, 165.26, 165.47, 164.565, 164.87, 135848
08/27/20, 167.35, 167.38, 164.90, 164.94, 173684
08/26/20, 166.78, 167.48, 166.19, 166.87, 189162
08/25/20, 167.05, 167.51, 166.53, 167.34, 127774
08/24/20, 168.74, 169.11, 168.20, 168.22, 84580
08/21/20, 168.48, 168.72, 167.88, 168.59, 154188
08/20/20, 168.22, 168.34, 167.92, 168.06, 75426
08/19/20, 167.96, 168.13, 166.66, 166.97, 330762
08/18/20, 167.35, 167.79, 167.17, 167.65, 104732
08/17/20, 167.04, 167.46, 166.72, 166.98, 153596
08/14/20, 166.80, 167.09, 166.38, 166.41, 79074
08/13/20, 167.73, 167.85, 166.21, 166.69, 336499
08/12/20, 167.85, 168.18, 167.34, 167.89, 364173
08/11/20, 168.93, 169.19, 168.08, 169.11, 194657
08/10/20, 171.20, 171.25, 170.40, 170.46, 118220
08/07/20, 171.95, 172.17, 170.76, 170.88, 85538
08/06/20, 172.11, 172.71, 171.51, 171.73, 132887
08/05/20, 171.25, 171.63, 170.965, 171.18, 87711
08/04/20, 171.80, 172.3306, 171.76, 172.3306, 89759
08/03/20, 170.73, 171.17, 170.48, 171.15, 188675
07/31/20, 171.29, 172.03, 171.11, 171.85, 82484
07/30/20, 171.82, 171.90, 171.58, 171.82, 65188
07/29/20, 170.98, 171.27, 170.36, 171.03, 101385
07/28/20, 170.61, 171.08, 170.48, 171.05, 76350
07/27/20, 171.02, 171.05, 170.02, 170.07, 77609
07/24/20, 170.26, 170.7993, 170.15, 170.69, 80797
07/23/20, 170.43, 170.81, 170.13, 170.71, 70293
07/22/20, 170.13, 170.135, 169.64, 169.64, 83424
07/21/20, 169.44, 169.72, 169.28, 169.47, 84218
07/20/20, 169.51, 169.59, 168.97, 169.21, 147776
07/17/20, 169.31, 169.33, 168.74, 168.8901, 50524
07/16/20, 169.41, 169.595, 169.06, 169.17, 43935
07/15/20, 168.31, 169.17, 168.29, 168.66, 54302
07/14/20, 169.76, 169.85, 169.07, 169.12, 80991
07/13/20, 168.10, 169.10, 167.87, 169.041, 41493
07/10/20, 169.85, 169.96, 168.61, 168.68, 72819
07/09/20, 167.79, 169.55, 167.74, 169.3288, 65261
07/08/20, 167.54, 167.925, 167.23, 167.62, 60139
07/07/20, 166.94, 168.17, 166.80, 168.08, 47413
07/06/20, 166.20, 166.62, 165.75, 166.56, 97399
07/02/20, 166.35, 167.19, 166.10, 167.04, 180990
07/01/20, 166.50, 167.15, 166.09, 166.91, 220849
06/30/20, 168.33, 168.33, 167.09, 167.35, 126443
06/29/20, 167.87, 168.19, 167.69, 167.94, 96719
06/26/20, 167.44, 168.21, 167.36, 168.10, 68479
06/25/20, 167.50, 167.61, 166.91, 166.93, 275736
06/24/20, 165.73, 166.75, 165.54, 166.7332, 79786
06/23/20, 165.49, 165.90, 165.28, 165.55, 85726
06/22/20, 166.72, 166.89, 165.88, 166.115, 95570
06/19/20, 165.19, 166.24, 165.19, 166.1886, 127280
06/18/20, 165.97, 166.20, 165.36, 166.04, 55338
06/17/20, 164.66, 165.04, 164.12, 164.92, 66811
06/16/20, 163.95, 165.36, 163.55, 164.47, 1159569
06/15/20, 167.04, 167.16, 165.67, 165.95, 204294
06/12/20, 166.06, 166.79, 165.78, 165.94, 63383
06/11/20, 166.70, 167.31, 166.40, 166.90, 239485
06/10/20, 163.72, 164.98, 163.57, 164.93, 174425
06/09/20, 163.41, 163.76, 162.94, 163.05, 58055
06/08/20, 160.80, 161.99, 160.80, 161.73, 125303
06/05/20, 160.46, 161.53, 159.3989, 161.53, 186004
06/04/20, 163.59, 163.77, 162.44, 162.60, 402654
06/03/20, 164.92, 164.99, 163.8017, 164.17, 112498
06/02/20, 166.04, 166.39, 165.595, 166.00, 122140
06/01/20, 166.16, 166.47, 165.80, 166.40, 329156
05/29/20, 166.76, 167.46, 166.5454, 167.24, 171082
05/28/20, 166.13, 166.53, 165.9174, 166.35, 167381
05/27/20, 166.48, 167.51, 166.39, 166.74, 55780
05/26/20, 166.80, 166.89, 166.45, 166.71, 101890
05/22/20, 167.51, 168.10, 167.49, 167.96, 36033
05/21/20, 167.51, 167.87, 167.18, 167.44, 365414
05/20/20, 166.26, 167.35, 166.23, 167.07, 184585
05/19/20, 165.88, 166.79, 165.68, 166.79, 66644
05/18/20, 167.30, 167.49, 165.80, 166.20, 98294
05/15/20, 169.62, 169.62, 168.33, 168.51, 74944
05/14/20, 169.10, 169.57, 168.72, 168.95, 42577
05/13/20, 167.93, 168.67, 167.76, 168.00, 68644
05/12/20, 166.38, 167.70, 166.38, 167.33, 43994
05/11/20, 167.06, 167.33, 166.04, 166.27, 29578
05/08/20, 167.66, 168.2434, 167.1294, 167.34, 90459
05/07/20, 166.81, 168.79, 166.70, 168.72, 46298
05/06/20, 166.43, 166.70, 165.7819, 166.69, 68618
05/05/20, 167.41, 168.26, 167.41, 168.20, 46712
05/04/20, 168.61, 168.67, 168.03, 168.31, 94692
05/01/20, 168.70, 168.89, 167.98, 168.65, 102306
04/30/20, 169.32, 169.9087, 168.13, 168.16, 342754
04/29/20, 169.87, 170.2365, 168.845, 169.40, 25127
04/28/20, 168.75, 169.7318, 168.73, 169.72, 31277
04/27/20, 169.35, 169.35, 167.93, 168.00, 62321
04/24/20, 169.51, 170.11, 169.24, 170.00, 38470
04/23/20, 169.34, 169.84, 169.19, 169.56, 75206
04/22/20, 169.63, 169.64, 168.46, 168.93, 39295
04/21/20, 170.77, 170.85, 169.99, 170.16, 253963
04/20/20, 168.39, 169.04, 168.115, 169.04, 64881
04/17/20, 168.99, 169.71, 167.75, 167.93, 60734
04/16/20, 169.18, 169.43, 168.82, 169.29, 74532
04/15/20, 167.66, 168.55, 167.40, 168.30, 42606
04/14/20, 165.94, 166.22, 165.2438, 165.64, 87218
04/13/20, 166.13, 166.63, 165.47, 165.47, 28397
