Date, Open, High, Low, Close
09/29/20, 164.8000, 165.2400, 164.5600, 164.8400
09/28/20, 164.8700, 164.9000, 164.3700, 164.6500
09/25/20, 165.1100, 165.4200, 164.7100, 165.1200
09/24/20, 164.9600, 165.1200, 164.6200, 165.1200
09/23/20, 164.3000, 164.5300, 163.4800, 164.4900
09/22/20, 164.4400, 164.8800, 163.8700, 164.2700
09/21/20, 164.8900, 165.4000, 164.1350, 164.4000
09/18/20, 164.1700, 164.2400, 163.3400, 163.5700
09/17/20, 164.9000, 164.9600, 163.8010, 164.0800
09/16/20, 164.7800, 164.8900, 162.9804, 163.5800
09/15/20, 164.1700, 164.4700, 163.7900, 164.0700
09/14/20, 164.7900, 165.0800, 164.2300, 164.4700
09/11/20, 164.3100, 164.5700, 164.0800, 164.4800
09/10/20, 162.4600, 164.3500, 161.9500, 164.1300
09/09/20, 163.9400, 164.2500, 162.7582, 163.3000
09/08/20, 164.3700, 165.2600, 163.7400, 163.7400
09/04/20, 164.4100, 164.6984, 162.4500, 162.7400
09/03/20, 165.7500, 167.2400, 165.4400, 165.8900
09/02/20, 163.5100, 165.5600, 163.4900, 165.4200
09/01/20, 161.7600, 164.0700, 161.1800, 163.8600
08/31/20, 161.6000, 163.2500, 161.5600, 162.1900
08/28/20, 161.7700, 162.0500, 160.6400, 161.1200
08/27/20, 164.7600, 164.8200, 161.1600, 161.2400
08/26/20, 164.0500, 164.3250, 163.2800, 164.0300
08/25/20, 164.3500, 165.0900, 163.8300, 164.6600
08/24/20, 166.3200, 166.9700, 165.8600, 165.9300
08/21/20, 165.7700, 166.3300, 165.0100, 166.2000
08/20/20, 165.3900, 165.6500, 164.9300, 165.2100
08/19/20, 165.3700, 165.6101, 163.3000, 163.7300
08/18/20, 164.3600, 164.8700, 164.0850, 164.7600
08/17/20, 163.9700, 164.4600, 163.4300, 163.5900
08/14/20, 163.8100, 164.1500, 163.1600, 163.1800
08/13/20, 165.3100, 165.5800, 163.1650, 163.8200
08/12/20, 165.7000, 166.0650, 164.9900, 165.5900
08/11/20, 167.1700, 167.4900, 165.8750, 167.1050
08/10/20, 170.2200, 170.2500, 169.0700, 169.1200
08/07/20, 171.2800, 171.5000, 169.5800, 169.8800
08/06/20, 171.3800, 172.2500, 170.6200, 171.0200
08/05/20, 170.0600, 170.5600, 169.6900, 170.0700
08/04/20, 170.8300, 171.5800, 170.7200, 171.5700
08/03/20, 169.2400, 169.9900, 168.9700, 169.9500
07/31/20, 170.1500, 171.4554, 169.9400, 171.0000
07/30/20, 171.0500, 171.2600, 170.7500, 171.1100
07/29/20, 170.0500, 170.3900, 168.9800, 169.9900
07/28/20, 169.5400, 170.3400, 169.4300, 170.2800
07/27/20, 170.2500, 170.3000, 168.9900, 169.1100
07/24/20, 169.0100, 169.9200, 168.8695, 169.7400
07/23/20, 168.9200, 169.8800, 168.4800, 169.7500
07/22/20, 168.2600, 168.4600, 167.6900, 167.7900
07/21/20, 167.3000, 167.7200, 167.0750, 167.2900
07/20/20, 167.5100, 167.6200, 166.8000, 167.1900
07/17/20, 167.2700, 167.4000, 166.4700, 166.7800
07/16/20, 167.4000, 167.7700, 167.0400, 167.1300
07/15/20, 165.9200, 166.9450, 165.8291, 166.3400
07/14/20, 167.9300, 168.1400, 166.9800, 167.1200
07/13/20, 165.5000, 166.9600, 165.2300, 166.8800
07/10/20, 167.9500, 168.2100, 166.1600, 166.3300
07/09/20, 164.6600, 167.4500, 164.6000, 167.1700
07/08/20, 164.3200, 164.9200, 163.8300, 164.5500
07/07/20, 163.4200, 165.3400, 163.2000, 165.2100
07/06/20, 162.3300, 163.0200, 161.7500, 162.9200
07/02/20, 162.7000, 163.7400, 162.2400, 163.5900
07/01/20, 162.8100, 163.5600, 162.1500, 163.4200
06/30/20, 165.2300, 165.2900, 163.4800, 163.9300
06/29/20, 164.8500, 165.2700, 164.3800, 164.7300
06/26/20, 164.2500, 165.3200, 164.1800, 165.2500
06/25/20, 164.2100, 164.3500, 163.4000, 163.5000
06/24/20, 161.5300, 163.0900, 161.5200, 163.0300
06/23/20, 161.4800, 162.0600, 161.1200, 161.3000
06/22/20, 163.1900, 163.4184, 162.0700, 162.4100
06/19/20, 161.0000, 162.5000, 160.9100, 162.3900
06/18/20, 162.0400, 162.4800, 161.6100, 162.2600
