Date, Open, High, Low, Close, Volume
9/29/20,60.9,60.93,60.86,60.88,849403
9/28/20,60.7,60.87,60.68,60.87,648349
9/25/20,60.64,60.7065,60.6299,60.68,605269
9/24/20,60.71,60.78,60.62,60.62,699263
9/23/20,61,61.08,60.79,60.79,862271
9/22/20,61.07,61.11,61.02,61.08,2004042
9/21/20,61.11,61.11,61,61.01,526067
9/18/20,61.16,61.1629,61.056,61.11,1060293
9/17/20,61.22,61.22,61.09,61.1,531714
9/16/20,61.19,61.26,61.1301,61.16,1983348
9/15/20,61.1,61.15,61.0873,61.15,942679
9/14/20,61.09,61.16,61.07,61.08,471940
9/11/20,61.03,61.08,60.96,61.06,562977
9/10/20,60.96,61.0399,60.91,60.98,1275192
9/9/20,61.01,61.02,60.93,60.96,676243
9/8/20,60.93,60.99,60.87,60.95,1375997
9/4/20,61.13,61.16,60.92,60.96,584747
9/3/20,61.34,61.39,61.23,61.24,825672
9/2/20,61.21,61.33,61.1601,61.33,1821940
9/1/20,61.04,61.23,60.96,61.21,1035165
8/31/20,61.01,61.2,60.99,61.16,1340964
8/28/20,60.93,61.02,60.91,61.02,478017
8/27/20,61.11,61.12,60.83,60.83,1017341
8/26/20,60.99,61.09,60.91,61.05,3022160
8/25/20,61,61.02,60.8775,60.97,612390
8/24/20,61.18,61.22,61.09,61.12,687343
8/21/20,61.18,61.19,61.08,61.19,652090
8/20/20,61.12,61.16,61.04,61.14,614085
8/19/20,61.1,61.16,60.99,60.99,2728736
8/18/20,60.97,61.08,60.95,61.05,853790
8/17/20,60.93,61.02,60.8838,60.97,1335611
8/14/20,61,61,60.79,60.85,855636
8/13/20,61.18,61.24,60.88,60.96,1076545
8/12/20,61.22,61.29,61.17,61.21,1013439
8/11/20,61.41,61.43,61.21,61.26,2269146
8/10/20,61.54,61.56,61.43,61.47,594106
8/7/20,61.59,61.6369,61.41,61.51,994786
8/6/20,61.55,61.63,61.49,61.57,2123810
8/5/20,61.43,61.48,61.41,61.46,1218689
8/4/20,61.41,61.5,61.38,61.48,1572397
8/3/20,61.22,61.345,61.22,61.34,1037335
7/31/20,61.32,61.42,61.3,61.39,2492923
7/30/20,61.34,61.34,61.25,61.34,527667
7/29/20,61.13,61.33,61.1,61.33,912356
7/28/20,61.12,61.12,61.03,61.07,439001
7/27/20,61.15,61.17,61.02,61.025,473880
7/24/20,61.2,61.25,61.09,61.09,604341
7/23/20,61.26,61.27,61.16,61.2,1433463
7/22/20,61.22,61.22,61.11,61.18,1412521
7/21/20,61.04,61.0931,61.01,61.03,955576
7/20/20,60.98,60.99,60.8917,60.955,573993
7/17/20,60.84,60.91,60.78,60.91,719435
7/16/20,60.74,60.81,60.72,60.72,1112550
7/15/20,60.66,60.75,60.635,60.69,802794
7/14/20,60.52,60.68,60.5,60.61,955190
7/13/20,60.46,60.59,60.44,60.47,2535729
7/10/20,60.6,60.6,60.45,60.5,864672
7/9/20,60.48,60.59,60.4,60.53,1273325
7/8/20,60.49,60.51,60.4,60.435,2760197
7/7/20,60.4,60.52,60.37,60.5,784855
7/6/20,60.43,60.5,60.36,60.5,1633290
7/2/20,60.38,60.41,60.3017,60.32,678236
7/1/20,60.14,60.32,60.12,60.3,898516
6/30/20,60.28,60.41,60.18,60.38,3226896
6/29/20,60.05,60.16,59.92,60.1,1209169
6/26/20,60.03,60.06,59.95,60,613059
6/25/20,60.14,60.14,59.996,60,620810
6/24/20,60.08,60.11,59.86,60.01,2361049
6/23/20,60.08,60.2,60.05,60.14,1637724
6/22/20,60.18,60.28,60.02,60.13,925741
6/19/20,60.28,60.2857,60.1,60.18,1066452
6/18/20,60.35,60.35,60.18,60.24,1162599
6/17/20,60.48,60.48,60.1,60.28,1453691
6/16/20,60.59,60.62,60.14,60.39,1221752
6/15/20,59.58,60.439,59.5085,60.23,1536100
6/12/20,59.74,59.8,59.53,59.68,1810778
6/11/20,59.77,59.97,59.435,59.45,2451158
6/10/20,59.72,60.18,59.6,60,6037783
6/9/20,59.58,59.78,59.48,59.72,16154260
6/8/20,59.5,59.62,59.4501,59.59,1514742
6/5/20,59.45,59.5299,59.245,59.38,2302373
6/4/20,59.45,59.46,59.19,59.22,2108006
6/3/20,59.36,59.63,59.2,59.31,3037438
6/2/20,59.15,59.92,59.15,59.39,6847926
6/1/20,58.99,59.17,58.88,59.08,3541524
5/29/20,59.03,59.29,58.98,59.23,2115669
5/28/20,58.88,58.96,58.83,58.92,1398193
5/27/20,58.82,58.86,58.71,58.86,1113049
5/26/20,58.71,58.77,58.65,58.74,1990878
5/22/20,58.63,58.66,58.52,58.65,1231926
5/21/20,58.65,58.74,58.52,58.58,1565076
5/20/20,58.34,58.56,58.3,58.52,2172229
5/19/20,58.15,58.28,58.07,58.14,1472322
5/18/20,58.09,58.12,57.99,58.04,1817500
5/15/20,57.79,57.94,57.7682,57.92,1147823
5/14/20,57.7,57.83,57.53,57.78,944147
5/13/20,57.69,57.71,57.51,57.58,1580270
5/12/20,57.64,57.64,57.37,57.51,1779254
5/11/20,57.41,57.42,57.18,57.2,517174
5/8/20,57.42,57.56,57.3578,57.41,474284
5/7/20,57.45,57.6,57.33,57.6,614903
5/6/20,57.5,57.59,57.27,57.43,479303
5/5/20,57.49,57.7,57.49,57.63,1495531
5/4/20,57.62,57.69,57.5,57.5,423849
5/1/20,57.54,57.65,57.29,57.46,2126948
4/30/20,57.94,58.01,57.8106,57.91,3123677
4/29/20,57.79,57.93,57.7201,57.93,1370631
4/28/20,57.72,57.72,57.47,57.6,642505
4/27/20,57.71,57.745,57.37,57.45,2322119
4/24/20,57.645,57.75,57.51,57.68,3473660
4/23/20,57.5,57.74,57.441,57.68,1777201
4/22/20,57.51,57.54,57.29,57.39,680402
4/21/20,57.56,57.61,57.03,57.4,1188355
4/20/20,57.47,57.59,57.06,57.5,1286393
4/17/20,57.81,57.9263,57.46,57.62,1226872
4/16/20,57.7,57.74,57.43,57.5,1510803
4/15/20,57.38,57.71,57.2101,57.71,1652872
4/14/20,57.78,57.78,57.26,57.3,2376536
4/13/20,57.26,57.55,56.55,57.36,4194512
4/9/20,56.55,57.49,53.82,57.25,24143840
4/8/20,55.35,55.97,55.33,55.85,1463600
4/7/20,55.37,55.57,55.21,55.33,2089842
4/6/20,54.81,55.49,54.77,55.19,2581650
4/3/20,54.65,54.98,54.4,54.4,747299
4/2/20,54.77,55.1499,54.52,54.55,974216
4/1/20,54.69,54.8799,54.37,54.37,1619094
3/31/20,54.89,55.47,54.5,54.92,1744236
3/30/20,54.33,55.25,54.295,54.92,1300470
3/27/20,54.11,54.57,53.85,54.48,901183
3/26/20,54.37,54.63,53.95,54.5,2210531
3/25/20,52.78,54.87,52.77,54.4,1745887
3/24/20,52.81,53.41,52.19,52.7,1286506
3/23/20,51.12,52.9334,51.12,52.81,3315001
3/20/20,51.12,51.77,50.11,50.43,1712007
3/19/20,51.67,51.9999,50.55,50.57,2984889
3/18/20,52.9,53.73,50.93,52.1,1863348
3/17/20,54.88,55.61,54.09,54.47,2295815
3/16/20,54.08,56.14,52.51,54.93,3865983
3/13/20,55.73,56.5361,55.33,56.27,4787481
3/12/20,56.31,57.0879,54.25,55.07,5405852
3/11/20,58.23,58.23,56.7,56.82,1918102
3/10/20,59.13,59.13,58.25,58.25,1414129
3/9/20,59.68,59.72,58.87,59.09,1334406
3/6/20,60.42,60.43,60.01,60.13,859655
3/5/20,60.32,60.34,60.15,60.19,920803
3/4/20,60.28,60.395,60.16,60.2,2290084
3/3/20,59.61,60.3,59.6,60.09,1486332
3/2/20,59.68,59.8099,59.48,59.52,934005
2/28/20,59.44,59.78,59.4336,59.78,2182635
2/27/20,59.56,59.57,59.32,59.36,1269169
2/26/20,59.47,59.61,59.44,59.45,879238
2/25/20,59.52,59.6399,59.5,59.55,1037108
2/24/20,59.56,59.565,59.47,59.5,767834
2/21/20,59.36,59.48,59.35,59.4,1985988
2/20/20,59.22,59.3,59.21,59.25,1531470
2/19/20,59.15,59.21,59.1241,59.16,671643
2/18/20,59.2,59.26,59.15,59.19,1236968
2/14/20,59.13,59.155,59.1,59.12,2555581
2/13/20,59.01,59.0883,59.01,59.04,690108
2/12/20,59.02,59.04,58.98,58.99,614470
2/11/20,59.09,59.1099,59.04,59.04,744573
2/10/20,59.12,59.16,59.04,59.13,1138675
2/7/20,58.98,59.06,58.954,59.03,514820
2/6/20,58.85,58.915,58.8225,58.85,782752
2/5/20,58.85,58.89,58.81,58.86,913961
2/4/20,58.93,58.95,58.87,58.95,678240
2/3/20,59.03,59.1,58.96,59.09,870259
1/31/20,59.16,59.28,59.11,59.25,1412511
1/30/20,59.18,59.2,59.0033,59.05,739466
1/29/20,58.96,59.09,58.93,59.05,580771
1/28/20,58.93,58.93,58.825,58.89,733274
1/27/20,58.91,58.92,58.84,58.92,586057
1/24/20,58.74,58.84,58.7108,58.79,660447
1/23/20,58.7,58.73,58.66,58.66,805582
1/22/20,58.6,58.69,58.58,58.6,1034221
1/21/20,58.54,58.59,58.4713,58.57,645996
1/17/20,58.34,58.41,58.33,58.39,786953
1/16/20,58.4,58.43,58.34,58.39,1801799
1/15/20,58.4,58.41,58.325,58.39,994887
1/14/20,58.25,58.2999,58.23,58.29,672529
1/13/20,58.28,58.28,58.21,58.23,776470
1/10/20,58.26,58.35,58.2442,58.305,701219
1/9/20,58.08,58.24,58.04,58.23,819113
1/8/20,58.17,58.26,58.08,58.15,835505
1/7/20,58.22,58.23,58.13,58.13,789096
1/6/20,58.32,58.325,58.15,58.21,765836
1/3/20,58.15,58.32,58.15,58.32,629097
1/2/20,58.13,58.22,58.07,58.12,2319762
12/31/19,58.02,58.05,57.98,57.98,608103
12/30/19,57.94,58.12,57.9,58.1,712056
12/27/19,58.03,58.1,58,58.07,774054
12/26/19,57.92,57.98,57.86,57.96,338005
12/24/19,57.77,57.91,57.7579,57.88,356230
12/23/19,57.88,57.89,57.79,57.82,926968
12/20/19,57.81,57.87,57.77,57.85,720563
12/19/19,57.82,57.88,57.77,57.84,5583650
12/18/19,57.99,58,57.9101,57.95,3792165
12/17/19,58.03,58.0381,57.96,57.99,792319
12/16/19,58.04,58.04,57.94,57.97,1285814
12/13/19,57.96,58.13,57.88,58.11,774500
12/12/19,58.05,58.05,57.72,57.82,743751
12/11/19,57.94,58.1,57.91,58.05,438184
12/10/19,57.94,57.9499,57.85,57.89,412683
12/9/19,57.98,57.99,57.9,57.92,712441
12/6/19,57.82,57.94,57.7742,57.9,984305
12/5/19,57.89,57.97,57.84,57.95,856737
12/4/19,58.05,58.07,57.89,57.99,679827
12/3/19,57.96,58.13,57.91,58.07,549932
12/2/19,57.71,57.76,57.64,57.74,1915287
11/29/19,58.07,58.09,58.0141,58.03,1960623
11/27/19,58.09,58.12,58.04,58.1,595227
11/26/19,58.13,58.15,58.08,58.14,731423
11/25/19,58.01,58.07,57.99,58.06,732923
11/22/19,57.96,57.98,57.9,57.96,743673
11/21/19,57.91,57.929,57.8401,57.87,503071
11/20/19,57.96,58.02,57.93,57.99,446534
11/19/19,57.87,57.93,57.86,57.91,1235493
11/18/19,57.86,57.89,57.83,57.86,764576
11/15/19,57.76,57.8377,57.734,57.78,554444
11/14/19,57.77,57.84,57.76,57.8,673683
11/13/19,57.61,57.635,57.56,57.595,643558
11/12/19,57.49,57.52,57.43,57.47,2088843
11/11/19,57.54,57.55,57.44,57.49,379674
11/8/19,57.51,57.61,57.45,57.47,448768
11/7/19,57.64,57.64,57.3913,57.48,732522
11/6/19,57.72,57.83,57.7,57.81,4228623
11/5/19,57.66,57.6886,57.54,57.62,885142
11/4/19,57.89,57.89,57.81,57.83,609795
11/1/19,58.01,58.11,57.92,58,518377
10/31/19,58.03,58.17,58,58.14,1110986
