S5RLST,S5TELS,S5COND,S5CONS,S5ENRS,S5FINL,S5HLTH,S5INDU,S5INFT,S5MATR,S5UTIL
217.76,195.26,1199.7,651.25,228.03,395.37,1210.72,652.39,2036.1,396.35,299.06
219.02,194.71,1209.21,655.3,234.42,399.97,1211.66,658.23,2042.32,399.24,299.29
215.36,192.42,1183.4,647.9,229.09,391.1,1201.81,646.54,2005.16,392.92,298.51
211.23,190.0,1165.13,645.24,229.24,386.97,1182.29,637.05,1958.17,389.79,293.78
210.45,189.25,1163.66,640.35,229.05,386.22,1188.52,636.51,1946.14,387.07,290.39
216.76,194.47,1190.32,650.53,239.96,394.88,1201.45,647.93,2010.71,398.76,295.13
214.06,190.89,1156.13,646.37,242.45,398.24,1203.72,641.33,1978.14,397.92,293.25
220.08,193.19,1169.0,650.71,250.65,408.43,1226.34,663.78,1963.28,411.95,294.96
224.47,195.34,1186.13,656.76,253.58,409.42,1227.91,671.06,1996.42,419.18,300.35
229.49,198.99,1205.26,661.08,253.06,413.56,1231.71,669.49,2013.4,416.01,302.84
228.26,201.42,1217.64,664.47,243.22,409.04,1234.48,662.95,2045.28,415.72,303.49
225.13,198.02,1205.24,665.15,245.09,414.7,1232.48,662.43,2025.09,413.76,301.28
220.38,197.76,1196.89,662.06,243.58,409.33,1216.07,653.85,1983.99,408.16,297.4
220.99,198.34,1200.68,658.03,242.96,406.25,1211.4,644.91,1998.97,402.88,296.41
224.28,201.51,1222.32,666.37,252.21,412.07,1230.48,653.19,2045.52,406.7,301.76
221.56,199.68,1194.69,656.61,250.67,408.34,1209.04,643.11,1979.28,396.46,298.01
224.44,204.6,1220.14,670.48,260.32,419.21,1229.65,655.8,2074.52,404.85,299.79
225.49,208.61,1237.57,672.07,261.18,415.99,1238.68,654.42,2102.78,404.32,301.47
229.25,215.83,1283.28,684.99,262.95,422.68,1273.61,673.29,2232.92,415.86,305.31
224.23,211.21,1267.62,672.24,264.05,416.43,1247.56,662.5,2212.54,406.58,296.06
224.57,209.04,1253.91,671.53,266.5,415.53,1259.88,656.22,2172.2,395.69,299.46
226.49,209.9,1251.82,673.67,272.48,420.73,1255.85,664.07,2164.42,401.66,298.5
224.86,209.23,1245.67,667.47,267.52,418.84,1253.32,658.0,2143.83,397.28,297.71
221.82,211.97,1254.67,663.41,266.85,411.67,1243.59,655.85,2143.23,398.23,296.83
223.48,204.38,1236.56,662.73,272.94,413.65,1245.11,655.54,2100.18,394.39,300.45
222.8,202.42,1230.04,663.58,276.87,412.53,1236.45,656.15,2089.28,395.67,303.24
222.26,200.3,1214.27,658.05,269.45,403.18,1243.13,644.59,2071.21,388.97,300.44
221.72,201.06,1210.45,656.31,271.15,404.26,1242.04,642.7,2046.41,391.06,300.05
219.35,198.34,1208.71,657.98,277.05,407.91,1245.63,645.8,2017.41,392.72,302.73
223.86,199.23,1217.44,662.85,280.29,408.22,1250.04,647.64,2022.92,393.98,303.69
224.2,197.08,1199.92,660.5,285.18,410.98,1250.47,651.15,2014.98,395.41,305.18
222.22,196.89,1185.62,656.81,286.99,417.39,1243.21,654.39,2001.52,393.93,305.62
221.91,197.09,1186.76,656.96,284.31,416.33,1245.9,651.68,2003.46,393.35,308.43
224.67,196.35,1187.44,658.21,290.07,418.9,1247.96,655.94,2002.61,393.64,309.61
221.74,193.93,1167.93,649.53,288.55,420.12,1226.88,653.59,1957.33,391.16,305.17
225.96,196.49,1175.4,654.13,289.24,414.73,1234.88,650.15,1992.87,391.86,311.82
226.33,197.39,1167.41,651.18,280.59,412.08,1239.1,634.74,1999.45,388.01,312.12
223.31,197.49,1170.85,647.75,280.45,403.29,1234.73,623.94,2031.17,386.57,306.6
223.1,192.76,1165.04,647.64,282.46,403.89,1241.86,621.97,2002.02,388.22,305.02
224.53,192.29,1148.91,649.09,279.51,398.07,1235.79,609.97,1995.05,382.36,308.88
221.52,191.64,1139.53,640.4,272.81,399.83,1241.39,608.31,1990.72,377.34,305.6
224.82,191.69,1145.81,642.01,272.09,399.06,1228.58,605.88,1942.39,379.77,309.12
225.18,190.22,1131.37,642.89,273.99,399.02,1235.39,608.33,1894.94,379.34,308.5
227.07,189.62,1130.21,642.86,285.7,406.48,1244.95,614.28,1884.94,386.94,308.56
222.85,188.15,1118.41,641.87,279.73,398.45,1231.63,605.24,1857.09,383.66,307.22
218.37,189.9,1132.31,639.98,284.71,399.58,1233.39,609.26,1880.04,392.23,302.51
215.96,188.43,1122.55,636.52,284.11,402.85,1224.52,606.87,1850.21,386.76,306.37
216.82,188.54,1118.87,637.44,285.79,404.33,1238.28,611.76,1872.42,388.02,308.32
217.89,192.28,1142.07,636.28,286.39,403.61,1243.35,613.87,1922.98,389.05,307.97
215.21,192.2,1138.34,631.43,290.28,403.96,1232.87,608.86,1907.19,384.73,303.32
215.19,192.99,1142.47,625.3,273.46,396.4,1233.55,601.01,1927.66,381.48,301.92
217.37,190.61,1107.71,631.38,278.27,397.87,1233.67,608.04,1879.14,384.72,306.08
214.37,191.43,1115.2,628.77,282.57,401.26,1217.06,604.74,1870.12,381.69,299.25
216.95,190.86,1118.24,627.39,284.02,401.47,1219.14,604.71,1893.25,380.33,295.34
215.85,190.31,1113.07,627.32,278.56,393.95,1203.28,589.67,1883.27,374.1,296.64
213.77,188.61,1106.46,617.88,268.87,391.22,1180.18,577.09,1860.98,364.83,293.78
