Date,Open,High,Low,Close,Volume
2020-09-29,217.76,217.76,217.76,217.76,1
2020-09-28,219.02,219.02,219.02,219.02,1
2020-09-25,215.36,215.36,215.36,215.36,1
2020-09-24,211.22,211.22,211.22,211.23,1
2020-09-23,210.45,210.45,210.45,210.45,1
2020-09-22,216.76,216.76,216.76,216.76,1
2020-09-21,214.06,214.06,214.06,214.06,1
2020-09-18,220.08,220.08,220.08,220.08,1
2020-09-17,224.47,224.47,224.47,224.47,1
2020-09-16,229.49,229.49,229.49,229.49,1
2020-09-15,228.26,228.26,228.26,228.26,1
2020-09-14,225.13,225.13,225.13,225.13,1
2020-09-11,220.38,220.38,220.38,220.38,1
2020-09-10,220.99,220.99,220.99,220.99,1
2020-09-09,224.28,224.28,224.28,224.28,1
2020-09-08,221.56,221.56,221.56,221.56,1
2020-09-04,224.44,224.44,224.44,224.44,1
2020-09-03,225.49,225.49,225.49,225.49,1
2020-09-02,229.25,229.25,229.25,229.25,1
2020-09-01,224.23,224.23,224.23,224.23,1
2020-08-31,224.57,224.57,224.57,224.57,1
2020-08-28,226.49,226.49,226.49,226.49,1
2020-08-27,224.86,224.86,224.86,224.86,1
2020-08-26,221.82,221.82,221.82,221.82,1
2020-08-25,223.48,223.48,223.48,223.48,1
2020-08-24,222.8,222.8,222.8,222.8,1
2020-08-21,222.26,222.26,222.26,222.26,1
2020-08-20,221.72,221.72,221.72,221.72,1
2020-08-19,219.35,219.35,219.35,219.35,1
2020-08-18,223.86,223.86,223.86,223.86,1
2020-08-17,224.2,224.2,224.2,224.2,1
2020-08-14,222.22,222.22,222.22,222.22,1
2020-08-13,221.91,221.91,221.91,221.91,1
2020-08-12,224.67,224.67,224.67,224.67,1
2020-08-11,221.75,221.75,221.75,221.74,1
2020-08-10,225.96,225.96,225.96,225.96,1
2020-08-07,226.33,226.33,226.33,226.33,1
2020-08-06,223.31,223.31,223.31,223.31,1
2020-08-05,223.1,223.1,223.1,223.1,1
2020-08-04,224.53,224.53,224.53,224.53,1
2020-08-03,221.52,221.52,221.52,221.52,1
2020-07-31,224.82,224.82,224.82,224.82,1
2020-07-30,225.18,225.18,225.18,225.18,1
2020-07-29,227.07,227.07,227.07,227.07,1
2020-07-28,222.85,222.85,222.85,222.85,1
2020-07-27,218.37,218.37,218.37,218.37,1
2020-07-24,215.96,215.96,215.96,215.96,1
2020-07-23,216.82,216.82,216.82,216.82,1
2020-07-22,217.89,217.89,217.89,217.89,1
2020-07-21,215.21,215.21,215.21,215.21,1
2020-07-20,215.19,215.19,215.19,215.19,1
2020-07-17,217.37,217.37,217.37,217.37,1
2020-07-16,214.37,214.37,214.37,214.37,1
2020-07-15,216.95,216.95,216.95,216.95,1
2020-07-14,215.85,215.85,215.85,215.85,1
2020-07-13,213.77,213.77,213.77,213.77,1
2020-07-10,217.32,217.32,217.32,217.32,1
2020-07-09,216.96,216.96,216.96,216.96,1
2020-07-08,217.69,217.69,217.69,217.69,1
2020-07-07,218.04,218.04,218.04,218.04,1
2020-07-06,221.59,221.59,221.59,221.59,1
2020-07-02,221.21,221.21,221.21,221.21,1
2020-07-01,221.96,221.96,221.96,221.96,1
2020-06-30,216.39,216.39,216.39,216.39,1
2020-06-29,213.0,213.0,213.0,213.0,1
2020-06-26,209.45,209.45,209.45,209.45,1
2020-06-25,213.31,213.31,213.31,213.32,1
2020-06-24,211.03,211.03,211.03,211.03,1
